Maximum base points available,RANKING
Geneseas,1
MTL Horizon,2
Whale Tech - North Paulding Robotics,3
Night Owls,4
Hephaestus Robotics,5
Achelous,6
PVIT,7
Underwater Research Robotics ( UR2 ),8
Sea Cow Robotics,9
Robosharks,10
Eternal,11
Shark Tech,12
Kingsport Technologies,13
Team SUNK,14
ARES Marine Robotics,15
Hackley Aquatic Engineers,16
TKS Reef Rovers,17
Brother Rice High School,18
Coral Crusders,19
Phoenix Robotics,20
Husky Explorer,21
Lee Stingrays,22
XTRa,22
Oostburg ROV,24
Crubotics_RANGER,25
AquaBot Technicians,26
Cyance ROV Team,27
Deep Sea Tactics,28
Eagle Rays,29
H2Operations,30
Magikarp Industries,31
