"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"16025","267","267","267","190","190","190","","","","","",""
"16185","","","","","","","200","200","200","186","186","186"
"16209","208","208","208","184","184","184","","","","","",""
"16420","","","","","","","252","252","252","235","235","235"
"16577","241.5","210","273","185","185","185","","","","","",""
"16608","","","","","","","254","254","254","188","188","188"
"16767","211","211","211","190","190","190","","","","","",""
"17031","","","","","","","231","204","258","227","227","227"
"17139","279","279","279","187","187","187","","","","","",""
"17323","281","281","281","184","184","184","","","","","",""
"17513","249","215","283","190","190","190","","","","","",""
"17701","216","216","216","188","188","188","","","","","",""
"17706","","","","","","","235.5","207","264","219","219","219"
"17885","217","217","217","184","184","184","","","","","",""
"17969","","","","","","","237","208","266","263","263","263"
"18072","326","326","326","187","187","187","","","","","",""
"18204","","","","","","","209","209","209","235","235","235"
"18256","286","286","286","184","184","184","","","","","",""
"18446","287","287","287","190","190","190","","","","","",""
"18628","","","","","","","241.5","211","272","183","183","183"
"18818","289","289","289","183","183","183","","","","","",""
"18856","","","","","","","243","212","274","228","228","228"
"19003","290","290","290","185","185","185","","","","","",""
"19081","","","","","","","244.5","213","276","225","225","225"
"19193","291","291","291","190","190","190","","","","","",""
"19314","","","","","","","214","214","214","233","233","233"
"19380","316","292","340","187","187","187","","","","","",""
"19520","","","","","","","280","280","280","206","206","206"
"19566","342","342","342","186","186","186","","","","","",""
"19704","","","","","","","216","216","216","184","184","184"
"19749","344","344","344","183","183","183","","","","","",""
"19936","346","346","346","187","187","187","284","284","284","232","232","232"
"20143","","","","","","","218","218","218","207","207","207"
"20310","350","350","350","190","190","190","","","","","",""
"20498","298","298","298","188","188","188","","","","","",""
"20583","","","","","","","273","220","326","216","216","216"
"20683","326.5","299","354","185","185","185","","","","","",""
"20866","328","300","356","183","183","183","","","","","",""
"21049","329.5","301","358","183","183","183","","","","","",""
"21078","","","","","","","288","288","288","239","239","239"
"21238","360","360","360","189","189","189","","","","","",""
"21360","","","","","","","332","332","332","282","282","282"
"21609","","","","","","","290","290","290","249","249","249"
"21792","305","305","305","184","184","184","","","","","",""
"21809","","","","","","","336","336","336","200","200","200"
"21999","","","","","","","292","292","292","190","190","190"
"22162","307","307","307","185","185","185","","","","","",""
"22243","","","","","","","293","293","293","244","244","244"
"22537","309","309","309","185","185","185","","","","","",""
"22723","310","310","310","186","186","186","","","","","",""
"22896","","","","","","","321","296","346","192","192","192"
"22908","344.5","311","378","185","185","185","","","","","",""
"23095","346","312","380","187","187","187","","","","","",""
"23115","","","","","","","348","348","348","219","219","219"
"23279","382","382","382","184","184","184","","","","","",""
"23551","","","","","","","325.5","299","352","204","204","204"
"23654","350.5","315","386","187","187","187","","","","","",""
"23763","","","","","","","300","300","300","212","212","212"
"23844","358","316","400","190","190","190","","","","","",""
"23966","","","","","","","301","301","301","203","203","203"
"24034","317","317","317","190","190","190","","","","","",""
"24203","","","","","","","330","302","358","237","237","237"
"24220","318","318","318","186","186","186","","","","","",""
"24464","","","","","","","303","303","303","261","261","261"
"24587","408","408","408","184","184","184","","","","","",""
"24650","","","","","","","333","304","362","186","186","186"
"24775","365.5","321","410","188","188","188","","","","","",""
"24839","","","","","","","334.5","305","364","189","189","189"
"24963","388","388","388","188","188","188","","","","","",""
"25028","","","","","","","366","366","366","189","189","189"
"25149","414","414","414","186","186","186","","","","","",""
"25338","416","416","416","189","189","189","","","","","",""
"25525","418","418","418","187","187","187","","","","","",""
"25709","420","420","420","184","184","184","","","","","",""
"26081","424","424","424","186","186","186","","","","","",""
"26268","426","426","426","187","187","187","","","","","",""
"26323","","","","","","","345","312","378","229","229","229"
"26453","396","396","396","185","185","185","","","","","",""
"26636","413.5","397","430","183","183","183","","","","","",""
"26810","","","","","","","382","382","382","248","248","248"
"26826","415","398","432","190","190","190","","","","","",""
"27014","399","399","399","188","188","188","","","","","",""
"27015","","","","","","","384","384","384","205","205","205"
"27198","435","435","435","184","184","184","","","","","",""
"27229","","","","","","","386","386","386","214","214","214"
"27387","476","476","476","189","189","189","","","","","",""
"27453","","","","","","","317","317","317","224","224","224"
"27575","478","478","478","188","188","188","","","","","",""
"27764","459","438","480","189","189","189","","","","","",""
"27833","","","","","","","319","319","319","190","190","190"
"27950","439","439","439","186","186","186","","","","","",""
"28035","","","","","","","320","320","320","202","202","202"
"28135","484","484","484","185","185","185","","","","","",""
"28246","","","","","","","321","321","321","211","211","211"
"28325","486","486","486","190","190","190","","","","","",""
"28449","","","","","","","322","322","322","203","203","203"
"28515","465","442","488","190","190","190","","","","","",""
"28652","","","","","","","412","389","435","203","203","203"
"28699","490","490","490","184","184","184","","","","","",""
"28888","444","444","444","189","189","189","","","","","",""
"29072","494","494","494","184","184","184","","","","","",""
"29169","","","","","","","415","391","439","263","263","263"
"29259","496","496","496","187","187","187","","","","","",""
"29443","498","498","498","184","184","184","","","","","",""
"29595","","","","","","","393","393","393","204","204","204"
"29632","448","448","448","189","189","189","","","","","",""
"29803","","","","","","","394","394","394","208","208","208"
"29817","449","449","449","185","185","185","","","","","",""
"30005","504","504","504","188","188","188","","","","","",""
"30026","","","","","","","421","395","447","223","223","223"
"30193","506","506","506","188","188","188","","","","","",""
"30379","452","452","452","186","186","186","","","","","",""
"30446","","","","","","","451","451","451","233","233","233"
"30567","453","453","453","188","188","188","","","","","",""
"30676","","","","","","","453","453","453","230","230","230"
"30896","","","","","","","455","455","455","220","220","220"
"30933","514","514","514","183","183","183","","","","","",""
"31119","456","456","456","186","186","186","","","","","",""
"31325","","","","","","","401","401","401","206","206","206"
"31498","458","458","458","190","190","190","","","","","",""
"31521","","","","","","","402","402","402","196","196","196"
"31681","459","459","459","183","183","183","","","","","",""
"31753","","","","","","","463","463","463","232","232","232"
"31869","460","460","460","188","188","188","","","","","",""
"31961","","","","","","","434.5","404","465","208","208","208"
"32054","461","461","461","185","185","185","","","","","",""
"32147","","","","","","","436","405","467","186","186","186"
"32238","528","528","528","184","184","184","","","","","",""
"32363","","","","","","","469","469","469","216","216","216"
"32422","496.5","463","530","184","184","184","","","","","",""
"32588","","","","","","","439","407","471","225","225","225"
"32606","532","532","532","184","184","184","","","","","",""
"32791","465","465","465","185","185","185","","","","","",""
"32831","","","","","","","473","473","473","243","243","243"
"32979","501","466","536","188","188","188","","","","","",""
