"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"923129","41407","41407","41407","513","513","513","","","","","",""
"923720","41433","41433","41433","591","591","591","","","","","",""
"925041","","","","","","","43344","43284","43404","580","580","580"
"925180","41440","41440","41440","859","859","859","","","","","",""
"926344","","","","","","","43375","43375","43375","618","618","618"
"927149","","","","","","","43435.5","43384","43487","805","805","805"
"927688","41610","41610","41610","671","671","671","","","","","",""
"927712","","","","","","","43487","43467","43507","563","563","563"
"928272","41599","41599","41599","584","584","584","","","","","",""
"928461","","","","","","","43475","43475","43475","749","749","749"
"928899","41662","41662","41662","627","627","627","","","","","",""
"929444","41601","41601","41601","545","545","545","","","","","",""
"929892","","","","","","","43573","43545","43601","778","778","778"
"930011","41718","41718","41718","567","567","567","","","","","",""
"930510","41702","41702","41702","499","499","499","","","","","",""
"930702","","","","","","","43630","43630","43630","810","810","810"
"931069","41762","41762","41762","559","559","559","","","","","",""
"931230","","","","","","","43673","43673","43673","528","528","528"
"931935","","","","","","","43696","43696","43696","705","705","705"
"932378","41820","41820","41820","727","727","727","","","","","",""
"932943","41782","41782","41782","565","565","565","","","","","",""
"933665","41869.5","41860","41879","722","722","722","","","","","",""
"933834","","","","","","","43785","43785","43785","715","715","715"
"935415","","","","","","","43837","43837","43837","787","787","787"
"935567","41941","41941","41941","463","463","463","","","","","",""
"936802","","","","","","","43886.5","43853","43920","787","787","787"
"936907","42027","42027","42027","800","800","800","","","","","",""
"937380","42021","42021","42021","473","473","473","","","","","",""
"938547","42060","42023","42097","629","629","629","","","","","",""
"938971","","","","","","","43953","43953","43953","946","946","946"
"939184","42113","42100","42126","637","637","637","","","","","",""
"939894","42101","42101","42101","710","710","710","","","","","",""
"941185","42197.5","42180","42215","596","596","596","","","","","",""
"941625","42209","42181","42237","440","440","440","","","","","",""
"942183","42220.5","42182","42259","558","558","558","","","","","",""
"942250","","","","","","","44108","44067","44149","663","663","663"
"942945","42260","42260","42260","762","762","762","","","","","",""
"943530","","","","","","","44188","44158","44218","565","565","565"
"944338","","","","","","","44244","44244","44244","808","808","808"
"944607","42361","42361","42361","517","517","517","","","","","",""
"944878","","","","","","","44230","44173","44287","540","540","540"
"945549","42386.5","42362","42411","942","942","942","","","","","",""
"946761","42466","42466","42466","587","587","587","","","","","",""
"947148","","","","","","","44333.5","44277","44390","689","689","689"
"947448","42441","42441","42441","687","687","687","","","","","",""
"947749","","","","","","","44360","44360","44360","601","601","601"
"948026","42524","42524","42524","578","578","578","","","","","",""
"948335","","","","","","","44367","44367","44367","586","586","586"
"949460","42553","42522","42584","646","646","646","","","","","",""
"950052","42613","42613","42613","592","592","592","","","","","",""
"950318","","","","","","","44465","44465","44465","721","721","721"
"950835","42624","42601","42647","783","783","783","","","","","",""
"950970","","","","","","","44507","44472","44542","652","652","652"
"951403","42602","42602","42602","568","568","568","","","","","",""
"952003","42702","42702","42702","600","600","600","","","","","",""
"952360","","","","","","","44614","44614","44614","616","616","616"
"952682","42681","42681","42681","679","679","679","","","","","",""
"952835","","","","","","","44631","44631","44631","475","475","475"
"953283","42682","42682","42682","601","601","601","","","","","",""
"953523","","","","","","","44654","44654","44654","688","688","688"
"953916","42787","42787","42787","633","633","633","","","","","",""
"954153","","","","","","","44687","44687","44687","630","630","630"
"954957","","","","","","","44671","44671","44671","804","804","804"
"955121","42762","42762","42762","564","564","564","","","","","",""
"955435","","","","","","","44755","44755","44755","478","478","478"
"955823","42855.5","42839","42872","702","702","702","","","","","",""
"956095","","","","","","","44751.5","44728","44775","660","660","660"
"956388","42894","42894","42894","565","565","565","","","","","",""
"956788","","","","","","","44798","44798","44798","693","693","693"
"957484","","","","","","","44782.5","44744","44821","696","696","696"
"958800","","","","","","","44834","44834","44834","550","550","550"
"959098","42967.5","42922","43013","643","643","643","","","","","",""
"959418","","","","","","","44842","44842","44842","618","618","618"
"959638","43018","43018","43018","540","540","540","","","","","",""
"959899","","","","","","","44953","44953","44953","481","481","481"
"960959","43020","43020","43020","799","799","799","","","","","",""
"961870","","","","","","","44947","44947","44947","681","681","681"
"962101","43153","43153","43153","600","600","600","","","","","",""
"962440","","","","","","","45077","45077","45077","570","570","570"
"963085","","","","","","","45037","45037","45037","645","645","645"
"963353","43208","43208","43208","723","723","723","","","","","",""
"963924","","","","","","","45126","45126","45126","839","839","839"
"964619","43266","43266","43266","742","742","742","","","","","",""
"965351","43277","43258","43296","732","732","732","","","","","",""
"966056","43326","43326","43326","705","705","705","","","","","",""
"966644","","","","","","","45240","45240","45240","615","615","615"
"966696","43355","43355","43355","640","640","640","","","","","",""
"967999","43375","43339","43411","529","529","529","","","","","",""
"968013","","","","","","","45278.5","45246","45311","642","642","642"
"968518","","","","","","","45252","45252","45252","505","505","505"
"969308","43474","43474","43474","651","651","651","","","","","",""
"969375","","","","","","","45320","45261","45379","857","857","857"
"970002","43506","43506","43506","694","694","694","","","","","",""
"970874","43497","43497","43497","872","872","872","","","","","",""
"970944","","","","","","","45431","45431","45431","711","711","711"
"971602","43498","43498","43498","728","728","728","","","","","",""
"971753","","","","","","","45483","45483","45483","809","809","809"
"972193","43598","43598","43598","591","591","591","","","","","",""
"972371","","","","","","","45475","45447","45503","618","618","618"
"972968","43632","43632","43632","775","775","775","","","","","",""
"973137","","","","","","","45529","45529","45529","766","766","766"
"973809","","","","","","","45464","45464","45464","672","672","672"
"974289","","","","","","","45530","45469","45591","480","480","480"
"975023","","","","","","","45586","45555","45617","734","734","734"
"975083","43694","43663","43725","582","582","582","","","","","",""
"975753","","","","","","","45601.5","45563","45640","730","730","730"
"976624","43768.5","43741","43796","771","771","771","","","","","",""
"977175","","","","","","","45654","45654","45654","625","625","625"
"978000","43821","43821","43821","648","648","648","","","","","",""
"979987","43943","43943","43943","670","670","670","","","","","",""
"980530","","","","","","","45848","45848","45848","561","561","561"
"981051","","","","","","","45852","45852","45852","521","521","521"
"981287","44002","44002","44002","590","590","590","","","","","",""
"981708","","","","","","","45901","45901","45901","657","657","657"
"983023","","","","","","","45913","45913","45913","714","714","714"
"983103","44073.5","44060","44087","692","692","692","","","","","",""
"983826","","","","","","","45995","45995","45995","803","803","803"
"983991","44091","44061","44121","888","888","888","","","","","",""
"984503","","","","","","","46006","46006","46006","677","677","677"
"985278","","","","","","","46014","46014","46014","775","775","775"
"985519","44166","44140","44192","899","899","899","","","","","",""
"986030","","","","","","","46023","46023","46023","752","752","752"
"986038","44177.5","44141","44214","519","519","519","","","","","",""
"986744","44142","44142","44142","706","706","706","","","","","",""
"986750","","","","","","","46107","46107","46107","720","720","720"
"987231","44244","44220","44268","487","487","487","","","","","",""
"987855","44221","44221","44221","624","624","624","","","","","",""
"988273","","","","","","","46163","46124","46202","750","750","750"
"988466","44311","44299","44323","611","611","611","","","","","",""
"988872","","","","","","","46247","46247","46247","599","599","599"
"989324","44300","44300","44300","858","858","858","","","","","",""
"989978","44390","44390","44390","654","654","654","","","","","",""
"990414","","","","","","","46225","46225","46225","828","828","828"
"990673","44399.5","44379","44420","695","695","695","","","","","",""
"991098","","","","","","","46343","46343","46343","684","684","684"
"991276","44380","44380","44380","603","603","603","","","","","",""
"991926","44429.5","44381","44478","650","650","650","","","","","",""
"991951","","","","","","","46307","46242","46372","853","853","853"
"992698","","","","","","","46360.5","46326","46395","747","747","747"
"993083","44460","44460","44460","603","603","603","","","","","",""
"993386","","","","","","","46376","46334","46418","688","688","688"
"993965","44552.5","44538","44567","882","882","882","","","","","",""
"994188","","","","","","","46419","46419","46419","802","802","802"
"994499","44564","44539","44589","534","534","534","","","","","",""
"995019","","","","","","","46463.5","46429","46498","831","831","831"
"995199","44540","44540","44540","700","700","700","","","","","",""
"995814","44634.5","44618","44651","615","615","615","","","","","",""
"995855","","","","","","","46438","46438","46438","836","836","836"
"996570","44681","44681","44681","756","756","756","","","","","",""
"997157","44704","44697","44711","587","587","587","","","","","",""
"997198","","","","","","","46561.5","46530","46593","800","800","800"
"997937","","","","","","","46579","46539","46619","739","739","739"
"998553","44771","44771","44771","754","754","754","","","","","",""
"998579","","","","","","","46546","46546","46546","642","642","642"
"999124","44749.5","44700","44799","571","571","571","","","","","",""
"999502","","","","","","","46633","46633","46633","923","923","923"
"999916","44778","44778","44778","792","792","792","","","","","",""
"1000639","44822","44779","44865","723","723","723","","","","","",""
"1000985","","","","","","","46725","46725","46725","820","820","820"
"1001367","44857","44857","44857","728","728","728","","","","","",""
"1002644","","","","","","","46744","46744","46744","728","728","728"
"1003378","","","","","","","46870","46870","46870","734","734","734"
"1004077","","","","","","","46865","46837","46893","699","699","699"
"1004899","45050","45050","45050","741","741","741","","","","","",""
"1005634","45011","45011","45011","735","735","735","","","","","",""
"1005937","","","","","","","46962.5","46934","46991","992","992","992"
"1006384","45117","45117","45117","750","750","750","","","","","",""
"1006967","45143","45143","45143","583","583","583","","","","","",""
"1007640","45091","45091","45091","673","673","673","","","","","",""
"1008276","45169","45169","45169","636","636","636","","","","","",""
"1008277","","","","","","","47091","47091","47091","713","713","713"
"1008871","","","","","","","47089.5","47068","47111","594","594","594"
"1009697","45264","45264","45264","618","618","618","","","","","",""
"1010374","","","","","","","47122.5","47085","47160","692","692","692"
"1012028","","","","","","","47209.5","47179","47240","843","843","843"
"1012665","45397","45397","45397","630","630","630","","","","","",""
"1012710","","","","","","","47225","47187","47263","682","682","682"
"1013280","45417","45408","45426","615","615","615","","","","","",""
"1014607","45410","45410","45410","654","654","654","","","","","",""
"1015175","","","","","","","47334.5","47291","47378","754","754","754"
"1015394","45503","45488","45518","787","787","787","","","","","",""
"1015961","45544","45544","45544","567","567","567","","","","","",""
"1016066","","","","","","","47366.5","47301","47432","891","891","891"
"1016574","","","","","","","47449","47449","47449","508","508","508"
"1016768","45581","45581","45581","807","807","807","","","","","",""
"1017257","","","","","","","47391","47391","47391","683","683","683"
"1018021","","","","","","","47524","47524","47524","764","764","764"
"1018336","45575","45575","45575","802","802","802","","","","","",""
"1018835","","","","","","","47517.5","47485","47550","814","814","814"
"1018885","45674","45674","45674","549","549","549","","","","","",""
"1020049","45654","45654","45654","490","490","490","","","","","",""
"1020711","45759","45759","45759","662","662","662","","","","","",""
"1021265","","","","","","","47652","47652","47652","747","747","747"
"1021900","45807","45807","45807","591","591","591","","","","","",""
"1022209","","","","","","","47599","47599","47599","944","944","944"
"1022623","45844","45844","45844","723","723","723","","","","","",""
"1023086","","","","","","","47735","47735","47735","877","877","877"
"1023315","45813","45813","45813","692","692","692","","","","","",""
"1023720","","","","","","","47725.5","47693","47758","634","634","634"
"1023916","45858","45814","45902","601","601","601","","","","","",""
"1024577","45910.5","45893","45928","661","661","661","","","","","",""
"1024745","","","","","","","47704","47704","47704","1025","1025","1025"
"1025279","45958","45958","45958","702","702","702","","","","","",""
"1025484","","","","","","","47813","47788","47838","739","739","739"
"1025876","45987","45987","45987","597","597","597","","","","","",""
"1026207","","","","","","","47830.5","47797","47864","723","723","723"
"1026662","46021","46021","46021","786","786","786","","","","","",""
"1026988","","","","","","","47805","47805","47805","781","781","781"
"1027418","46015.5","45974","46057","756","756","756","","","","","",""
"1028041","46052","46052","46052","623","623","623","","","","","",""
"1028715","","","","","","","47935","47901","47969","792","792","792"
"1028752","46053","46053","46053","711","711","711","","","","","",""
"1029363","46136.5","46131","46142","611","611","611","","","","","",""
"1029671","","","","","","","47988","47988","47988","956","956","956"
"1030062","46132","46132","46132","699","699","699","","","","","",""
"1030665","","","","","","","47999","47999","47999","994","994","994"
"1031309","46215","46215","46215","650","650","650","","","","","",""
"1031451","","","","","","","48044.5","48008","48081","786","786","786"
"1032357","","","","","","","48121","48094","48148","906","906","906"
"1032570","46250","46217","46283","645","645","645","","","","","",""
"1033190","","","","","","","48138.5","48103","48174","833","833","833"
"1033332","46319","46319","46319","762","762","762","","","","","",""
"1034076","46295","46295","46295","744","744","744","","","","","",""
"1034109","","","","","","","48114","48114","48114","919","919","919"
"1034748","46374","46374","46374","672","672","672","","","","","",""
"1034996","","","","","","","48257","48257","48257","887","887","887"
"1035577","46395.5","46375","46416","829","829","829","","","","","",""
"1035750","","","","","","","48283","48283","48283","754","754","754"
"1036213","46446","46446","46446","636","636","636","","","","","",""
"1036862","46464.5","46454","46475","649","649","649","","","","","",""
"1037264","","","","","","","48357","48357","48357","896","896","896"
"1037350","46497","46497","46497","488","488","488","","","","","",""
"1038060","","","","","","","48383","48383","48383","796","796","796"
"1038723","46534","46534","46534","764","764","764","","","","","",""
"1038762","","","","","","","48375","48344","48406","702","702","702"
"1039433","","","","","","","48429","48429","48429","671","671","671"
"1039487","46562.5","46535","46590","764","764","764","","","","","",""
"1040194","","","","","","","48478","48478","48478","761","761","761"
"1040282","46627","46627","46627","795","795","795","","","","","",""
"1040908","46614","46614","46614","626","626","626","","","","","",""
"1040946","","","","","","","48445","48445","48445","752","752","752"
"1042260","46665.5","46616","46715","634","634","634","","","","","",""
"1043348","","","","","","","48548","48548","48548","777","777","777"
"1043469","46695","46695","46695","625","625","625","","","","","",""
"1044101","","","","","","","48557","48557","48557","753","753","753"
"1044724","46826","46826","46826","578","578","578","","","","","",""
"1045098","","","","","","","48633","48567","48699","997","997","997"
"1045244","46775","46775","46775","520","520","520","","","","","",""
"1045863","","","","","","","48652","48652","48652","765","765","765"
"1045873","46847","46847","46847","629","629","629","","","","","",""
"1046609","46879","46848","46910","736","736","736","","","","","",""
"1047289","46932","46925","46939","680","680","680","","","","","",""
"1047993","46969","46969","46969","704","704","704","","","","","",""
"1048668","46963","46927","46999","675","675","675","","","","","",""
"1049487","","","","","","","48831","48769","48893","777","777","777"
"1049529","47022","47005","47039","861","861","861","","","","","",""
"1050150","","","","","","","48885","48854","48916","663","663","663"
"1050830","47098","47098","47098","606","606","606","","","","","",""
"1050917","","","","","","","48902.5","48863","48942","767","767","767"
"1051359","47120","47120","47120","529","529","529","","","","","",""
"1051769","","","","","","","48932.5","48872","48993","852","852","852"
"1052682","","","","","","","49022","49022","49022","913","913","913"
"1052746","47184","47184","47184","581","581","581","","","","","",""
"1053469","","","","","","","48967","48967","48967","787","787","787"
"1053514","47218","47218","47218","768","768","768","","","","","",""
"1054216","47250","47250","47250","702","702","702","","","","","",""
"1054308","","","","","","","49077.5","49053","49102","839","839","839"
"1054767","47272","47272","47272","551","551","551","","","","","",""
"1055039","","","","","","","49093","49061","49125","731","731","731"
"1056022","47331","47331","47331","594","594","594","","","","","",""
"1056540","","","","","","","49199","49199","49199","771","771","771"
"1057309","","","","","","","49194.5","49164","49225","769","769","769"
"1057417","47326","47326","47326","816","816","816","","","","","",""
"1058069","","","","","","","49248","49248","49248","760","760","760"
"1058870","47428.5","47405","47452","712","712","712","","","","","",""
"1059510","","","","","","","49265","49265","49265","854","854","854"
"1059612","47481","47473","47489","742","742","742","","","","","",""
"1060163","","","","","","","49342","49342","49342","653","653","653"
"1060276","47494.5","47474","47515","664","664","664","","","","","",""
"1060844","","","","","","","49367","49356","49378","681","681","681"
"1060885","47475","47475","47475","609","609","609","","","","","",""
"1061781","47566.5","47552","47581","896","896","896","","","","","",""
"1062151","","","","","","","49401","49401","49401","634","634","634"
"1062860","","","","","","","49409","49409","49409","709","709","709"
"1063544","","","","","","","49417","49417","49417","684","684","684"
"1064306","","","","","","","49501","49501","49501","762","762","762"
"1065115","","","","","","","49510","49510","49510","809","809","809"
"1065421","47728.5","47712","47745","768","768","768","","","","","",""
"1065987","","","","","","","49519","49519","49519","872","872","872"
"1066692","","","","","","","49629.5","49604","49655","705","705","705"
"1066904","47811","47811","47811","791","791","791","","","","","",""
"1067620","47792","47792","47792","716","716","716","","","","","",""
"1068376","","","","","","","49666.5","49623","49710","810","810","810"
"1068401","47835","47793","47877","781","781","781","","","","","",""
"1069162","","","","","","","49760","49760","49760","786","786","786"
"1069825","","","","","","","49749.5","49716","49783","663","663","663"
"1070166","47949","47949","47949","921","921","921","","","","","",""
"1070976","","","","","","","49785.5","49728","49843","1151","1151","1151"
"1071715","47985.5","47951","48020","753","753","753","","","","","",""
"1072429","48001.5","47952","48051","714","714","714","","","","","",""
"1073205","48085","48085","48085","776","776","776","","","","","",""
"1073504","","","","","","","49951","49951","49951","851","851","851"
"1073999","48102","48102","48102","794","794","794","","","","","",""
"1074359","","","","","","","49948","49919","49977","855","855","855"
"1074823","48129.5","48103","48156","824","824","824","","","","","",""
"1075200","","","","","","","50003","50003","50003","841","841","841"
"1076123","","","","","","","50015","50015","50015","923","923","923"
"1076240","48182","48182","48182","683","683","683","","","","","",""
"1076641","","","","","","","50078","50078","50078","518","518","518"
"1076919","48249","48249","48249","679","679","679","","","","","",""
"1077570","48230.5","48184","48277","651","651","651","","","","","",""
"1078201","","","","","","","50154","50154","50154","945","945","945"
"1078305","48262","48262","48262","735","735","735","","","","","",""
"1078979","","","","","","","50177","50177","50177","778","778","778"
"1079841","48359.5","48341","48378","786","786","786","","","","","",""
"1079850","","","","","","","50133","50133","50133","871","871","871"
"1080818","","","","","","","50221","50221","50221","968","968","968"
"1081230","48391.5","48343","48440","766","766","766","","","","","",""
"1081599","","","","","","","50257.5","50229","50286","781","781","781"
"1081959","48421","48421","48421","729","729","729","","","","","",""
"1082463","","","","","","","50277","50239","50315","864","864","864"
"1083568","48541","48541","48541","763","763","763","","","","","",""
"1084001","","","","","","","50393","50393","50393","750","750","750"
"1084844","","","","","","","50419","50419","50419","843","843","843"
"1084848","48502","48502","48502","667","667","667","","","","","",""
"1085530","48580","48580","48580","682","682","682","","","","","",""
"1086596","48581","48581","48581","1066","1066","1066","","","","","",""
"1086706","","","","","","","50516","50516","50516","781","781","781"
"1088331","","","","","","","50593","50593","50593","835","835","835"
"1089960","48806","48806","48806","667","667","667","","","","","",""
"1090132","","","","","","","50576","50576","50576","889","889","889"
"1090672","48853","48853","48853","712","712","712","","","","","",""
"1090969","","","","","","","50681.5","50661","50702","837","837","837"
"1091616","48898","48898","48898","944","944","944","","","","","",""
"1092387","48907.5","48887","48928","771","771","771","","","","","",""
"1093104","48962","48962","48962","717","717","717","","","","","",""
"1093596","","","","","","","50766","50766","50766","949","949","949"
"1093848","48995","48995","48995","744","744","744","","","","","",""
"1094458","","","","","","","50814","50776","50852","862","862","862"
"1094567","48967","48967","48967","719","719","719","","","","","",""
"1095246","","","","","","","50785","50785","50785","788","788","788"
"1095301","49014.5","48968","49061","734","734","734","","","","","",""
"1095828","","","","","","","50857","50792","50922","582","582","582"
"1096641","","","","","","","50948","50948","50948","813","813","813"
"1096740","49047","49047","49047","768","768","768","","","","","",""
"1098087","49153","49126","49180","777","777","777","","","","","",""
"1098442","","","","","","","51003","50974","51032","915","915","915"
"1098756","49212","49212","49212","669","669","669","","","","","",""
"1099048","","","","","","","50981","50981","50981","606","606","606"
"1099845","","","","","","","51103","51103","51103","797","797","797"
"1100631","","","","","","","51129","51129","51129","786","786","786"
"1100869","49294.5","49284","49305","766","766","766","","","","","",""
"1101413","","","","","","","51084","51084","51084","782","782","782"
"1101595","49335","49335","49335","726","726","726","","","","","",""
"1102221","49286","49286","49286","626","626","626","","","","","",""
"1103466","49361","49361","49361","640","640","640","","","","","",""
"1103814","","","","","","","51222.5","51187","51258","830","830","830"
"1104156","49452","49452","49452","690","690","690","","","","","",""
"1104621","","","","","","","51308","51308","51308","807","807","807"
"1104729","49439","49439","49439","573","573","573","","","","","",""
"1105418","","","","","","","51334","51334","51334","797","797","797"
"1106491","","","","","","","51293","51293","51293","1073","1073","1073"
"1106719","49567","49567","49567","541","541","541","","","","","",""
"1107357","49520","49520","49520","638","638","638","","","","","",""
"1107456","","","","","","","51401.5","51380","51423","965","965","965"
"1108105","49598","49598","49598","748","748","748","","","","","",""
"1108361","","","","","","","51452","51452","51452","905","905","905"
"1108964","49631","49599","49663","859","859","859","","","","","",""
"1109695","49678","49678","49678","731","731","731","","","","","",""
"1110040","","","","","","","51514.5","51485","51544","843","843","843"
"1110701","","","","","","","51567","51567","51567","661","661","661"
"1111521","","","","","","","51560","51502","51618","820","820","820"
"1112152","49781","49758","49804","851","851","851","","","","","",""
"1112826","49759","49759","49759","674","674","674","","","","","",""
"1113527","49837","49837","49837","701","701","701","","","","","",""
"1114108","49838","49838","49838","581","581","581","","","","","",""
"1114667","","","","","","","51677.5","51613","51742","992","992","992"
"1114742","49916","49916","49916","634","634","634","","","","","",""
"1115445","","","","","","","51768","51768","51768","778","778","778"
"1116091","49977","49977","49977","721","721","721","","","","","",""
"1116785","49990","49990","49990","694","694","694","","","","","",""
"1117028","","","","","","","51734","51734","51734","907","907","907"
"1117707","","","","","","","51869","51869","51869","679","679","679"
"1118854","50103","50103","50103","620","620","620","","","","","",""
"1119223","","","","","","","51942","51942","51942","751","751","751"
"1119410","50071","50071","50071","556","556","556","","","","","",""
"1120017","50157","50157","50157","607","607","607","","","","","",""
"1121289","50151","50151","50151","721","721","721","","","","","",""
"1121809","","","","","","","52052","52052","52052","836","836","836"
"1121879","50229","50229","50229","590","590","590","","","","","",""
"1122490","50264","50264","50264","611","611","611","","","","","",""
"1122543","","","","","","","52049.5","52024","52075","734","734","734"
"1123117","50262.5","50231","50294","627","627","627","","","","","",""
"1123457","","","","","","","52034","52034","52034","914","914","914"
"1124027","50322","50309","50335","910","910","910","","","","","",""
"1124089","","","","","","","52118","52118","52118","632","632","632"
"1124635","50310","50310","50310","608","608","608","","","","","",""
"1124964","","","","","","","52190","52190","52190","875","875","875"
"1125340","50311","50311","50311","705","705","705","","","","","",""
"1125757","","","","","","","52176.5","52137","52216","793","793","793"
"1126021","50389","50389","50389","681","681","681","","","","","",""
"1126411","","","","","","","52205","52145","52265","654","654","654"
"1126648","50449","50449","50449","627","627","627","","","","","",""
"1128291","","","","","","","52323","52323","52323","1070","1070","1070"
"1129579","50548","50548","50548","856","856","856","","","","","",""
"1129781","","","","","","","52397","52397","52397","612","612","612"
"1130093","50574.5","50549","50600","514","514","514","","","","","",""
"1130604","","","","","","","52385","52344","52426","823","823","823"
"1130963","50641","50641","50641","870","870","870","","","","","",""
"1131299","","","","","","","52351","52351","52351","695","695","695"
"1132206","","","","","","","52504","52504","52504","907","907","907"
"1132518","50712","50712","50712","846","846","846","","","","","",""
"1132819","","","","","","","52524","52524","52524","613","613","613"
"1133207","50742","50742","50742","689","689","689","","","","","",""
"1133652","","","","","","","52574","52574","52574","833","833","833"
"1133873","50710","50710","50710","666","666","666","","","","","",""
"1134398","50711","50711","50711","525","525","525","","","","","",""
"1134472","","","","","","","52570","52540","52600","820","820","820"
"1135062","50822","50822","50822","664","664","664","","","","","",""
"1136380","50874.5","50868","50881","669","669","669","","","","","",""
"1137151","50892","50869","50915","771","771","771","","","","","",""
"1137162","","","","","","","52712","52712","52712","776","776","776"
"1137764","50870","50870","50870","613","613","613","","","","","",""
"1138834","","","","","","","52767","52741","52793","850","850","850"
"1139734","","","","","","","52822","52822","52822","900","900","900"
"1140084","51044","51044","51044","777","777","777","","","","","",""
"1140805","51078","51078","51078","721","721","721","","","","","",""
"1141323","","","","","","","52886","52886","52886","978","978","978"
"1142098","51119.5","51107","51132","749","749","749","","","","","",""
"1142634","","","","","","","52927.5","52900","52955","598","598","598"
"1142891","51108","51108","51108","793","793","793","","","","","",""
"1143357","","","","","","","52908","52908","52908","723","723","723"
"1143665","51194.5","51186","51203","774","774","774","","","","","",""
"1144390","51187","51187","51187","725","725","725","","","","","",""
"1144902","","","","","","","53002","53002","53002","790","790","790"
"1144933","51223.5","51188","51259","543","543","543","","","","","",""
"1145733","51279.5","51264","51295","800","800","800","","","","","",""
"1145743","","","","","","","53046","53011","53081","841","841","841"
"1146439","51265","51265","51265","706","706","706","","","","","",""
"1146483","","","","","","","53141","53141","53141","740","740","740"
"1147060","","","","","","","53161","53161","53161","577","577","577"
"1147194","51343","51343","51343","755","755","755","","","","","",""
"1147779","51344","51344","51344","585","585","585","","","","","",""
"1148814","","","","","","","53122","53122","53122","934","934","934"
"1149255","51423","51423","51423","680","680","680","","","","","",""
"1149532","","","","","","","53267","53267","53267","718","718","718"
"1150068","51484","51484","51484","813","813","813","","","","","",""
"1150269","","","","","","","53214","53214","53214","737","737","737"
"1151002","51515.5","51502","51529","934","934","934","","","","","",""
"1151208","","","","","","","53348","53348","53348","939","939","939"
"1151660","51529","51503","51555","658","658","658","","","","","",""
"1152090","","","","","","","53311","53311","53311","882","882","882"
"1152371","51545.5","51504","51587","711","711","711","","","","","",""
"1153048","","","","","","","53406","53406","53406","958","958","958"
"1153221","51603.5","51582","51625","850","850","850","","","","","",""
"1153748","","","","","","","53392","53330","53454","700","700","700"
"1153895","51617","51583","51651","674","674","674","","","","","",""
"1154510","","","","","","","53447.5","53415","53480","762","762","762"
"1154739","51661","51661","51661","844","844","844","","","","","",""
"1155410","51691.5","51662","51721","671","671","671","","","","","",""
"1155851","","","","","","","53430","53430","53430","707","707","707"
"1156996","51742","51742","51742","935","935","935","","","","","",""
"1157806","51785.5","51743","51828","810","810","810","","","","","",""
"1158147","","","","","","","53532","53532","53532","695","695","695"
"1158910","","","","","","","53674","53674","53674","763","763","763"
"1159703","","","","","","","53626","53626","53626","793","793","793"
"1159901","51893","51893","51893","706","706","706","","","","","",""
"1160460","51894","51894","51894","559","559","559","","","","","",""
"1160478","","","","","","","53747","53747","53747","775","775","775"
"1161013","51969","51969","51969","553","553","553","","","","","",""
"1161849","51972","51972","51972","836","836","836","","","","","",""
"1162328","","","","","","","53732","53732","53732","951","951","951"
"1162665","52006","51973","52039","816","816","816","","","","","",""
"1163234","","","","","","","53818","53818","53818","906","906","906"
"1164091","","","","","","","53858","53827","53889","857","857","857"
"1164298","52053","52053","52053","752","752","752","","","","","",""
"1165056","","","","","","","53838","53838","53838","965","965","965"
"1165241","52153","52153","52153","943","943","943","","","","","",""
"1165809","52132","52132","52132","568","568","568","","","","","",""
"1165893","","","","","","","53971","53971","53971","837","837","837"
"1167415","52250","52250","52250","777","777","777","","","","","",""
"1168398","","","","","","","54089","54089","54089","697","697","697"
"1168911","52290","52290","52290","670","670","670","","","","","",""
"1169750","52350","52350","52350","839","839","839","","","","","",""
"1171009","","","","","","","54201","54201","54201","857","857","857"
"1171308","52396","52371","52421","893","893","893","","","","","",""
"1171707","","","","","","","54170","54170","54170","698","698","698"
"1171983","52447","52447","52447","675","675","675","","","","","",""
"1172737","52483","52483","52483","754","754","754","","","","","",""
"1173333","52479.5","52450","52509","596","596","596","","","","","",""
"1173972","52538","52538","52538","639","639","639","","","","","",""
"1174723","52572","52572","52572","751","751","751","","","","","",""
"1174899","","","","","","","54281","54281","54281","790","790","790"
"1175764","","","","","","","54354","54291","54417","865","865","865"
"1176652","52631.5","52606","52657","615","615","615","","","","","",""
"1177254","","","","","","","54425","54384","54466","689","689","689"
"1178051","52719","52719","52719","566","566","566","","","","","",""
"1178065","","","","","","","54393","54393","54393","811","811","811"
"1178759","","","","","","","54509","54478","54540","694","694","694"
"1178787","52749","52749","52749","736","736","736","","","","","",""
"1179597","52785","52785","52785","810","810","810","","","","","",""
"1179706","","","","","","","54572","54572","54572","947","947","947"
"1180407","","","","","","","54497","54497","54497","701","701","701"
"1181202","","","","","","","54647","54647","54647","795","795","795"
"1181299","52860","52860","52860","776","776","776","","","","","",""
"1181877","","","","","","","54589","54589","54589","675","675","675"
"1182058","52845","52845","52845","759","759","759","","","","","",""
"1182387","","","","","","","54595","54595","54595","510","510","510"
"1182661","52846","52846","52846","603","603","603","","","","","",""
"1183060","","","","","","","54732","54732","54732","673","673","673"
