,_step,losses/td_loss,charts/episodic_return,_runtime,charts/SPS,_timestamp,global_step,losses/q_values,charts/episodic_length
0,345,,-21.0,2.6713440840000002,,1753560200.6590955,22896.0,,
1,678,,-21.0,2.6713440840000002,,1753560265.258855,47586.0,,
2,1494,0.04738236591219902,,2.6713440840000002,366.0,1753560382.976994,88700.0,-0.6142465472221375,
3,1782,,,2.6713440840000002,361.0,1753560395.9748528,92200.0,,
4,2532,,,2.6713440840000002,345.0,1753560447.5166802,105900.0,,
5,2657,0.040989004,,2.6713440840000002,,1753560455.814041,108100.0,,
6,3191,,-21.0,2.6713440840000002,,1753560496.9765341,119033.0,,204.0
7,4190,,,2.6713440840000002,,1753560564.695845,136800.0,-2.8425546,
8,4718,,-20.0,2.6713440840000002,,1753560603.1870005,146880.0,,
9,4800,,-21.0,2.6713440840000002,,1753560607.1276023,147920.0,,
10,5187,0.052553114,,2.6713440840000002,,1753560635.8820996,155400.0,,
11,5808,0.006940098479390144,,2.6713440840000002,309.0,1753560683.725231,167900.0,-3.520075798034668,
12,6310,,,2.6713440840000002,,1753560715.225523,176120.0,,203.0
13,7277,0.021952499,,2.6713440840000002,,1753560784.8822062,194200.0,,
14,8910,0.012041161,,2.6713440840000002,,1753560901.9199722,224500.0,,
15,9026,0.025356123,,2.6713440840000002,,1753560911.6363351,227000.0,,
16,10390,,,2.6713440840000002,290.0,1753561009.395664,252300.0,,
17,10738,,-21.0,2.6713440840000002,,1753561042.6709845,260892.0,,196.0
18,10764,,,2.6713440840000002,,1753561036.0397906,259200.0,-4.4390783,
19,11673,,,2.6713440840000002,287.0,1753561103.6337934,276500.0,,
20,12651,,-20.0,2.6713440840000002,,1753561176.6248045,295149.0,,
21,13264,0.022379178553819656,,2.6713440840000002,283.0,1753561226.175482,307800.0,-4.317155838012695,
22,14527,,,2.6713440840000002,281.0,1753561314.9628782,330400.0,,
23,18655,0.02397352,,2.6713440840000002,,1753561639.087166,410800.0,,
24,20069,,-21.0,2.6713440840000002,,1753561749.3847606,438057.0,,
25,21820,,-20.0,2.6713440840000002,,1753561898.5703607,474474.0,,265.0
26,22112,,-20.0,2.6713440840000002,,1753561918.9049168,479412.0,,344.0
27,24011,,,2.6713440840000002,,1753562069.4651334,516042.0,,305.0
28,24151,0.01927884668111801,,2.6713440840000002,267.0,1753562089.0486908,520700.0,-3.132540702819824,
29,26336,,,2.6713440840000002,264.0,1753562264.6229548,562500.0,,
30,26667,0.009006612002849579,,2.6713440840000002,264.0,1753562297.6093698,570400.0,-2.7881932258605957,
31,26793,0.01155357901006937,,2.6713440840000002,264.0,1753562313.977204,574300.0,-2.587252378463745,
32,27485,0.01633591391146183,,2.6713440840000002,263.0,1753562367.502561,587100.0,-2.8124918937683105,
33,29001,0.041716936975717545,,2.6713440840000002,262.0,1753562499.7361264,618500.0,-2.3682472705841064,
34,29658,,,2.6713440840000002,261.0,1753562550.813312,630600.0,,
35,30596,0.018600430339574814,,2.6713440840000002,260.0,1753562636.838022,651000.0,-2.41084623336792,
36,31341,,,2.6713440840000002,260.0,1753562698.114229,665500.0,,
37,31703,0.028028802946209908,,2.6713440840000002,259.0,1753562740.9142118,675600.0,-2.1149744987487793,
38,31960,,,2.6713440840000002,,1753562752.7114353,678371.0,,402.0
39,34634,0.01190714,,2.6713440840000002,,1753562993.0636609,734600.0,,
40,34655,,,2.6713440840000002,,1753562995.5986285,735200.0,-2.1007705,
41,34904,,,2.6713440840000002,257.0,1753563017.624077,740300.0,,
42,35124,,,2.6713440840000002,257.0,1753563037.9415011,745000.0,,
43,35442,,,2.6713440840000002,256.0,1753563066.9883149,751700.0,,
44,37260,,,2.6713440840000002,,1753563236.0128543,790300.0,-1.88764,
45,37908,0.008612944,,2.6713440840000002,,1753563298.8324432,804400.0,,
46,38426,,,2.6713440840000002,,1753563348.9094174,815614.0,,472.0
47,38999,0.013048503547906876,,2.6713440840000002,253.0,1753563412.687839,829900.0,-1.6896343231201172,
48,39113,,,2.6713440840000002,,1753563414.927288,830400.0,-1.4876277,
49,39131,0.012508112,,2.6713440840000002,,1753563417.158267,830900.0,,
50,40874,,,2.6713440840000002,252.0,1753563588.3084953,869100.0,,
51,43050,,-19.0,2.6713440840000002,,1753563805.246575,917499.0,,
52,44036,0.012928,,2.6713440840000002,,1753563904.8434424,939600.0,,
53,45491,,,2.6713440840000002,,1753564050.6071725,972000.0,-1.2696936,
54,45848,,,2.6713440840000002,,1753564089.420265,980530.0,,561.0
55,50290,0.015581457,,2.6713440840000002,,1753564547.0539756,1081700.0,,
56,50339,0.015195195563137531,,2.6713440840000002,245.0,1753564560.1566918,1084600.0,-0.8663949966430664,
57,51364,,,2.6713440840000002,244.0,1753564658.48559,1106400.0,,
58,51468,0.03563228,,2.6713440840000002,,1753564669.8127058,1108900.0,,
59,52904,0.007893268018960953,,2.6713440840000002,244.0,1753564822.0736082,1143000.0,-0.6705371141433716,
60,54357,,,2.6713440840000002,,1753564964.8303745,1174700.0,-0.89833355,
61,54418,0.018462399,,2.6713440840000002,,1753564969.7817957,1175800.0,,
62,54892,0.01655488647520542,,2.6713440840000002,243.0,1753565026.4727259,1188400.0,-0.7188625335693359,
63,54995,0.01460590772330761,,2.6713440840000002,243.0,1753565037.4612565,1190800.0,-0.6801806688308716,
64,55239,0.02907891944050789,,2.6713440840000002,243.0,1753565064.267408,1196700.0,-0.7963027954101562,
65,55506,0.016815037,,2.6713440840000002,,1753565083.194135,1200900.0,,
66,56035,,,2.6713440840000002,242.0,1753565139.5471277,1213400.0,,
