"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"145804","","","","","","","4678","4678","4678","-21","-21","-21"
"145984","4957","4957","4957","-21","-21","-21","","","","","",""
"146024","","","","","","","4618.5","4551","4686","-21","-21","-21"
"146167","4871","4871","4871","-21","-21","-21","","","","","",""
"146353","4962.5","4948","4977","-21","-21","-21","","","","","",""
"146542","4987","4987","4987","-21","-21","-21","","","","","",""
"146640","","","","","","","4672.5","4635","4710","-21","-21","-21"
"146732","4973.5","4950","4997","-21","-21","-21","","","","","",""
"146880","","","","","","","4718","4718","4718","-20","-20","-20"
"146917","5007","5007","5007","-21","-21","-21","","","","","",""
"147105","4984.5","4952","5017","-21","-21","-21","","","","","",""
"147293","5023","5023","5023","-21","-21","-21","","","","","",""
"147316","","","","","","","4776","4776","4776","-21","-21","-21"
"147476","5035.5","5029","5042","-21","-21","-21","","","","","",""
"147499","","","","","","","4721","4721","4721","-21","-21","-21"
"147662","5030","5030","5030","-21","-21","-21","","","","","",""
"147717","","","","","","","4758.5","4725","4792","-21","-21","-21"
"147851","5046.5","5031","5062","-21","-21","-21","","","","","",""
"148038","5032","5032","5032","-21","-21","-21","","","","","",""
"148170","","","","","","","4769.5","4731","4808","-19","-19","-19"
"148227","5082","5082","5082","-21","-21","-21","","","","","",""
"148406","","","","","","","4777","4735","4819","-21","-21","-21"
"148595","","","","","","","4824","4824","4824","-21","-21","-21"
"148813","","","","","","","4741","4741","4741","-20","-20","-20"
"149017","","","","","","","4793.5","4744","4843","-21","-21","-21"
"149246","","","","","","","4851","4851","4851","-21","-21","-21"
"149435","","","","","","","4859","4859","4859","-21","-21","-21"
"149530","5157","5157","5157","-21","-21","-21","","","","","",""
"149791","5141.5","5116","5167","-21","-21","-21","","","","","",""
"149829","","","","","","","4815.5","4756","4875","-21","-21","-21"
"149978","5147","5117","5177","-21","-21","-21","","","","","",""
"150182","5118","5118","5118","-21","-21","-21","","","","","",""
"150372","5197","5197","5197","-21","-21","-21","","","","","",""
"150562","5163.5","5120","5207","-21","-21","-21","","","","","",""
"150637","","","","","","","4945","4945","4945","-21","-21","-21"
"150752","5121","5121","5121","-21","-21","-21","","","","","",""
"150899","","","","","","","4953","4953","4953","-21","-21","-21"
"151004","5223","5223","5223","-21","-21","-21","","","","","",""
"151117","","","","","","","4895","4895","4895","-20","-20","-20"
"151375","","","","","","","4898","4898","4898","-20","-20","-20"
"151474","5242","5225","5259","-21","-21","-21","","","","","",""
"151563","","","","","","","4940.5","4901","4980","-21","-21","-21"
"151702","5226","5226","5226","-21","-21","-21","","","","","",""
"151811","","","","","","","4991","4991","4991","-19","-19","-19"
"151905","5283","5283","5283","-21","-21","-21","","","","","",""
"152026","","","","","","","4908","4908","4908","-21","-21","-21"
"152089","5258.5","5228","5289","-21","-21","-21","","","","","",""
"152217","","","","","","","4968.5","4911","5026","-21","-21","-21"
"152305","5229","5229","5229","-21","-21","-21","","","","","",""
"152524","5275.5","5230","5321","-21","-21","-21","","","","","",""
"152630","","","","","","","5042","5042","5042","-21","-21","-21"
"152750","5306","5306","5306","-21","-21","-21","","","","","",""
"152834","","","","","","","5050","5050","5050","-21","-21","-21"
"152983","5324","5307","5341","-21","-21","-21","","","","","",""
"153043","","","","","","","4997","4997","4997","-21","-21","-21"
"153264","","","","","","","5066","5066","5066","-21","-21","-21"
"153408","5309","5309","5309","-21","-21","-21","","","","","",""
"153719","5344.5","5310","5379","-20","-20","-20","","","","","",""
"153876","","","","","","","5068.5","5009","5128","-21","-21","-21"
"154122","5358","5312","5404","-21","-21","-21","","","","","",""
"154353","5313","5313","5313","-20","-20","-20","","","","","",""
"154509","","","","","","","5093","5093","5093","-20","-20","-20"
"154626","5409","5390","5428","-19","-19","-19","","","","","",""
"154771","","","","","","","5096","5096","5096","-20","-20","-20"
"154994","","","","","","","5099","5099","5099","-20","-20","-20"
"155021","5448","5448","5448","-21","-21","-21","","","","","",""
"155559","5436.5","5394","5479","-19","-19","-19","","","","","",""
"155612","","","","","","","5162.5","5109","5216","-21","-21","-21"
"155816","5493","5493","5493","-21","-21","-21","","","","","",""
"156004","5487","5471","5503","-21","-21","-21","","","","","",""
"156104","","","","","","","5116","5116","5116","-21","-21","-21"
"156208","5492.5","5472","5513","-21","-21","-21","","","","","",""
"156328","","","","","","","5243","5243","5243","-21","-21","-21"
"156532","","","","","","","5251","5251","5251","-20","-20","-20"
"156766","","","","","","","5200","5200","5200","-21","-21","-21"
"156855","5543","5543","5543","-21","-21","-21","","","","","",""
"157075","5476","5476","5476","-21","-21","-21","","","","","",""
"157191","","","","","","","5206","5206","5206","-21","-21","-21"
"157307","5575","5575","5575","-19","-19","-19","","","","","",""
"157467","","","","","","","5286","5286","5286","-20","-20","-20"
"157727","5575","5555","5595","-21","-21","-21","","","","","",""
"157749","","","","","","","5275.5","5214","5337","-19","-19","-19"
"157926","5556","5556","5556","-21","-21","-21","","","","","",""
"157985","","","","","","","5345","5345","5345","-20","-20","-20"
"158146","5615","5615","5615","-21","-21","-21","","","","","",""
"158412","","","","","","","5331","5298","5364","-21","-21","-21"
"158808","5607","5560","5654","-21","-21","-21","","","","","",""
"158856","","","","","","","5342","5304","5380","-21","-21","-21"
"159298","5655.5","5637","5674","-21","-21","-21","","","","","",""
"159440","","","","","","","5422","5422","5422","-21","-21","-21"
"159512","5638","5638","5638","-21","-21","-21","","","","","",""
"159682","","","","","","","5373","5316","5430","-20","-20","-20"
"159891","","","","","","","5319","5319","5319","-21","-21","-21"
"159985","5674","5640","5708","-21","-21","-21","","","","","",""
"160104","","","","","","","5449","5449","5449","-21","-21","-21"
"160203","5717","5717","5717","-21","-21","-21","","","","","",""
"160293","","","","","","","5325","5325","5325","-21","-21","-21"
"160426","5740","5740","5740","-21","-21","-21","","","","","",""
"160495","","","","","","","5462","5462","5462","-21","-21","-21"
"160719","","","","","","","5439.5","5406","5473","-21","-21","-21"
"160922","5742","5720","5764","-21","-21","-21","","","","","",""
"160936","","","","","","","5409","5409","5409","-20","-20","-20"
"161136","","","","","","","5489","5489","5489","-21","-21","-21"
"161147","5774","5774","5774","-20","-20","-20","","","","","",""
"161349","","","","","","","5415","5415","5415","-21","-21","-21"
"161541","5794","5794","5794","-21","-21","-21","","","","","",""
"161742","5813","5813","5813","-21","-21","-21","","","","","",""
"161781","","","","","","","5421","5421","5421","-21","-21","-21"
"162011","","","","","","","5531.5","5500","5563","-21","-21","-21"
"162023","5813.5","5800","5827","-21","-21","-21","","","","","",""
"162227","","","","","","","5537","5503","5571","-21","-21","-21"
"162240","5801","5801","5801","-21","-21","-21","","","","","",""
"162457","5802","5802","5802","-21","-21","-21","","","","","",""
"162661","5803","5803","5803","-21","-21","-21","","","","","",""
"162900","","","","","","","5512","5512","5512","-21","-21","-21"
"163085","","","","","","","5515","5515","5515","-21","-21","-21"
"163125","5843","5805","5881","-21","-21","-21","","","","","",""
"163326","5806","5806","5806","-21","-21","-21","","","","","",""
"163526","5807","5807","5807","-21","-21","-21","","","","","",""
"163706","","","","","","","5649","5649","5649","-21","-21","-21"
"163928","5926","5926","5926","-21","-21","-21","","","","","",""
"163960","","","","","","","5592.5","5528","5657","-20","-20","-20"
"164166","","","","","","","5531","5531","5531","-21","-21","-21"
"164367","5946","5946","5946","-21","-21","-21","","","","","",""
"164417","","","","","","","5535","5535","5535","-21","-21","-21"
"164615","5924","5888","5960","-21","-21","-21","","","","","",""
"164618","","","","","","","5684","5684","5684","-21","-21","-21"
"164815","5929.5","5889","5970","-21","-21","-21","","","","","",""
"164830","","","","","","","5692","5692","5692","-21","-21","-21"
"165013","5972","5972","5972","-21","-21","-21","","","","","",""
"165038","","","","","","","5659","5618","5700","-20","-20","-20"
"165232","","","","","","","5727","5727","5727","-21","-21","-21"
"165422","5990.5","5974","6007","-21","-21","-21","","","","","",""
"165642","","","","","","","5685","5627","5743","-21","-21","-21"
"165855","","","","","","","5751","5751","5751","-21","-21","-21"
"165920","5976","5976","5976","-21","-21","-21","","","","","",""
"166066","","","","","","","5759","5759","5759","-21","-21","-21"
"166137","5977","5977","5977","-21","-21","-21","","","","","",""
"166277","","","","","","","5767","5767","5767","-21","-21","-21"
"166665","6054","6054","6054","-21","-21","-21","","","","","",""
"166672","","","","","","","5783","5783","5783","-21","-21","-21"
"166855","","","","","","","5755","5719","5791","-21","-21","-21"
"167094","","","","","","","5816.5","5796","5837","-20","-20","-20"
"167121","6056","6056","6056","-21","-21","-21","","","","","",""
"167340","","","","","","","5848","5848","5848","-20","-20","-20"
"167525","6058","6058","6058","-21","-21","-21","","","","","",""
"167576","","","","","","","5803","5803","5803","-20","-20","-20"
"167740","6059","6059","6059","-21","-21","-21","","","","","",""
"167796","","","","","","","5864","5864","5864","-20","-20","-20"
"167989","","","","","","","5872","5872","5872","-21","-21","-21"
"168018","6146","6146","6146","-19","-19","-19","","","","","",""
"168460","","","","","","","5816","5816","5816","-19","-19","-19"
"168478","6138","6138","6138","-20","-20","-20","","","","","",""
"168677","6176","6176","6176","-21","-21","-21","","","","","",""
"168891","6163","6140","6186","-21","-21","-21","","","","","",""
"169107","6200","6200","6200","-21","-21","-21","","","","","",""
"169109","","","","","","","5881.5","5826","5937","-20","-20","-20"
"169313","","","","","","","5945","5945","5945","-21","-21","-21"
"169498","","","","","","","5950","5950","5950","-21","-21","-21"
"169707","","","","","","","5935","5909","5961","-21","-21","-21"
"169970","6219","6219","6219","-21","-21","-21","","","","","",""
"170440","6269","6269","6269","-21","-21","-21","","","","","",""
"170501","","","","","","","5920","5920","5920","-21","-21","-21"
"170689","","","","","","","5959","5922","5996","-21","-21","-21"
"170866","6256","6223","6289","-20","-20","-20","","","","","",""
"171069","6261.5","6224","6299","-21","-21","-21","","","","","",""
"171077","","","","","","","6003","6003","6003","-21","-21","-21"
"171273","6317","6317","6317","-21","-21","-21","","","","","",""
"171715","","","","","","","6013","6013","6013","-20","-20","-20"
"171770","6341","6341","6341","-21","-21","-21","","","","","",""
"172021","6304","6304","6304","-21","-21","-21","","","","","",""
"172270","6335","6305","6365","-21","-21","-21","","","","","",""
"172343","","","","","","","6061.5","6022","6101","-20","-20","-20"
"172487","6306","6306","6306","-21","-21","-21","","","","","",""
"172548","","","","","","","6067","6025","6109","-21","-21","-21"
"172671","6349.5","6307","6392","-21","-21","-21","","","","","",""
"172741","","","","","","","6082","6028","6136","-21","-21","-21"
"172910","6406","6406","6406","-21","-21","-21","","","","","",""
"172939","","","","","","","6087.5","6031","6144","-21","-21","-21"
"173134","","","","","","","6034","6034","6034","-21","-21","-21"
"173217","6402.5","6385","6420","-19","-19","-19","","","","","",""
"173382","","","","","","","6098.5","6037","6160","-19","-19","-19"
"173419","6430","6430","6430","-21","-21","-21","","","","","",""
"173747","6415.5","6387","6444","-20","-20","-20","","","","","",""
"173941","6421","6388","6454","-21","-21","-21","","","","","",""
"174149","6426.5","6389","6464","-21","-21","-21","","","","","",""
"174191","","","","","","","6123","6123","6123","-21","-21","-21"
"174381","6478","6478","6478","-21","-21","-21","","","","","",""
"174683","","","","","","","6130","6130","6130","-19","-19","-19"
"174872","","","","","","","6207","6207","6207","-21","-21","-21"
"175073","","","","","","","6210","6210","6210","-21","-21","-21"
"175283","","","","","","","6213","6213","6213","-21","-21","-21"
"175485","6530","6530","6530","-21","-21","-21","","","","","",""
"175708","","","","","","","6220","6220","6220","-21","-21","-21"
"175853","6470","6470","6470","-17","-17","-17","","","","","",""
"175917","","","","","","","6223","6223","6223","-20","-20","-20"
"176120","","","","","","","6309","6309","6309","-21","-21","-21"
"176191","6547","6547","6547","-20","-20","-20","","","","","",""
"176310","","","","","","","6229","6229","6229","-21","-21","-21"
"176511","6567","6548","6586","-19","-19","-19","","","","","",""
"176521","","","","","","","6232","6232","6232","-21","-21","-21"
"176750","","","","","","","6293.5","6235","6352","-20","-20","-20"
"176992","","","","","","","6238","6238","6238","-19","-19","-19"
"177196","","","","","","","6304.5","6241","6368","-21","-21","-21"
"177249","6620","6620","6620","-19","-19","-19","","","","","",""
"177381","","","","","","","6244","6244","6244","-21","-21","-21"
"177548","6638","6638","6638","-21","-21","-21","","","","","",""
"177635","","","","","","","6323","6323","6323","-21","-21","-21"
"177851","","","","","","","6395","6395","6395","-21","-21","-21"
"177896","6629","6629","6629","-21","-21","-21","","","","","",""
"178085","","","","","","","6366","6329","6403","-21","-21","-21"
"178114","6666","6666","6666","-21","-21","-21","","","","","",""
"178359","6676","6676","6676","-21","-21","-21","","","","","",""
"178722","6694","6694","6694","-19","-19","-19","","","","","",""
"178936","","","","","","","6445.5","6416","6475","-21","-21","-21"
"179164","","","","","","","6483","6483","6483","-20","-20","-20"
"179404","","","","","","","6423","6423","6423","-21","-21","-21"
"179440","6716","6701","6731","-19","-19","-19","","","","","",""
"179658","","","","","","","6464","6426","6502","-19","-19","-19"
"179689","6741","6741","6741","-21","-21","-21","","","","","",""
"180125","","","","","","","6477","6433","6521","-21","-21","-21"
"180743","6781","6781","6781","-18","-18","-18","","","","","",""
"180765","","","","","","","6493.5","6442","6545","-21","-21","-21"
"180974","","","","","","","6553","6553","6553","-21","-21","-21"
"181148","6814","6814","6814","-19","-19","-19","","","","","",""
"181216","","","","","","","6506.5","6449","6564","-20","-20","-20"
"181486","","","","","","","6570","6570","6570","-20","-20","-20"
"181689","","","","","","","6573","6573","6573","-21","-21","-21"
"181808","6815","6784","6846","-19","-19","-19","","","","","",""
"182124","","","","","","","6580","6580","6580","-21","-21","-21"
"182320","","","","","","","6613.5","6583","6644","-21","-21","-21"
"182493","6871","6862","6880","-18","-18","-18","","","","","",""
"182564","","","","","","","6586","6586","6586","-21","-21","-21"
"182796","","","","","","","6624.5","6589","6660","-20","-20","-20"
"183031","","","","","","","6632","6593","6671","-21","-21","-21"
"183098","6908","6908","6908","-21","-21","-21","","","","","",""
"183399","6865","6865","6865","-19","-19","-19","","","","","",""
"183737","","","","","","","6717","6717","6717","-21","-21","-21"
"183967","","","","","","","6725","6725","6725","-19","-19","-19"
"184099","6913","6867","6959","-19","-19","-19","","","","","",""
"184190","","","","","","","6733","6733","6733","-21","-21","-21"
"184398","6973","6973","6973","-21","-21","-21","","","","","",""
"184634","","","","","","","6690","6690","6690","-21","-21","-21"
"184682","6945","6945","6945","-21","-21","-21","","","","","",""
"184879","","","","","","","6760","6760","6760","-20","-20","-20"
"185076","6975.5","6946","7005","-17","-17","-17","","","","","",""
"185118","","","","","","","6734","6697","6771","-20","-20","-20"
"185304","6983","6947","7019","-21","-21","-21","","","","","",""
"185598","7036","7036","7036","-21","-21","-21","","","","","",""
"185787","","","","","","","6806.5","6780","6833","-21","-21","-21"
"185991","","","","","","","6812","6783","6841","-21","-21","-21"
"186198","7026","7026","7026","-21","-21","-21","","","","","",""
"186240","","","","","","","6819.5","6787","6852","-19","-19","-19"
"186444","","","","","","","6825","6790","6860","-20","-20","-20"
"186451","7027","7027","7027","-21","-21","-21","","","","","",""
"186903","","","","","","","6797","6797","6797","-20","-20","-20"
"187043","7106","7106","7106","-21","-21","-21","","","","","",""
"187136","","","","","","","6853","6800","6906","-21","-21","-21"
"187287","7030","7030","7030","-21","-21","-21","","","","","",""
"187360","","","","","","","6914","6914","6914","-21","-21","-21"
"187585","7031","7031","7031","-21","-21","-21","","","","","",""
"187765","","","","","","","6809","6809","6809","-21","-21","-21"
"187925","7151","7151","7151","-19","-19","-19","","","","","",""
"187958","","","","","","","6912.5","6887","6938","-21","-21","-21"
"188154","","","","","","","6918","6890","6946","-21","-21","-21"
"188160","7135","7109","7161","-21","-21","-21","","","","","",""
"188490","7142.5","7110","7175","-18","-18","-18","","","","","",""
"188580","","","","","","","6929","6896","6962","-21","-21","-21"
"189023","","","","","","","7019","7019","7019","-21","-21","-21"
"189213","7202.5","7188","7217","-19","-19","-19","","","","","",""
"189451","","","","","","","6983","6983","6983","-21","-21","-21"
"189662","","","","","","","7043","7043","7043","-21","-21","-21"
"189870","7190","7190","7190","-17","-17","-17","","","","","",""
"190092","","","","","","","7059","7059","7059","-21","-21","-21"
"190136","7191","7191","7191","-19","-19","-19","","","","","",""
"190280","","","","","","","7067","7067","7067","-21","-21","-21"
"190525","","","","","","","6999","6999","6999","-20","-20","-20"
"190726","","","","","","","7044","7002","7086","-21","-21","-21"
"190859","7284.5","7270","7299","-21","-21","-21","","","","","",""
"190919","","","","","","","7059","7005","7113","-21","-21","-21"
"191134","7292","7271","7313","-19","-19","-19","","","","","",""
"191174","","","","","","","7121","7121","7121","-21","-21","-21"
"192050","","","","","","","7156","7156","7156","-19","-19","-19"
"192313","","","","","","","7099","7099","7099","-20","-20","-20"
"192528","","","","","","","7102","7102","7102","-20","-20","-20"
"192602","7385","7385","7385","-19","-19","-19","","","","","",""
"192745","","","","","","","7183","7183","7183","-20","-20","-20"
"192956","","","","","","","7108","7108","7108","-21","-21","-21"
"192958","7398","7391","7405","-20","-20","-20","","","","","",""
"193151","","","","","","","7186","7186","7186","-21","-21","-21"
"193248","7392","7392","7392","-21","-21","-21","","","","","",""
"193350","","","","","","","7189","7189","7189","-21","-21","-21"
"193561","","","","","","","7222.5","7192","7253","-21","-21","-21"
"193630","7393","7393","7393","-20","-20","-20","","","","","",""
"193779","","","","","","","7261","7261","7261","-21","-21","-21"
"193967","7422.5","7394","7451","-20","-20","-20","","","","","",""
"194275","7465","7465","7465","-21","-21","-21","","","","","",""
"194488","7396","7396","7396","-21","-21","-21","","","","","",""
"194620","","","","","","","7296","7296","7296","-21","-21","-21"
"194834","","","","","","","7323","7323","7323","-21","-21","-21"
"195044","","","","","","","7214","7214","7214","-21","-21","-21"
"195132","7475","7475","7475","-21","-21","-21","","","","","",""
"195248","","","","","","","7278","7217","7339","-21","-21","-21"
"195454","","","","","","","7347","7347","7347","-20","-20","-20"
"195552","7536","7536","7536","-21","-21","-21","","","","","",""
"195677","","","","","","","7297","7297","7297","-20","-20","-20"
"195871","7550","7550","7550","-21","-21","-21","","","","","",""
"196137","","","","","","","7339","7304","7374","-20","-20","-20"
"196238","7479","7479","7479","-18","-18","-18","","","","","",""
"196323","","","","","","","7344.5","7307","7382","-21","-21","-21"
"196593","","","","","","","7310","7310","7310","-19","-19","-19"
"196646","7555","7555","7555","-19","-19","-19","","","","","",""
"196870","","","","","","","7314","7314","7314","-21","-21","-21"
"197028","7583","7556","7610","-19","-19","-19","","","","","",""
"197101","","","","","","","7392","7392","7392","-21","-21","-21"
"197321","7590.5","7557","7624","-19","-19","-19","","","","","",""
"197357","","","","","","","7426","7395","7457","-20","-20","-20"
"197576","7634","7634","7634","-20","-20","-20","","","","","",""
"197761","","","","","","","7401","7401","7401","-21","-21","-21"
"197795","7604","7559","7649","-21","-21","-21","","","","","",""
"197952","","","","","","","7481","7481","7481","-21","-21","-21"
"197996","7560","7560","7560","-21","-21","-21","","","","","",""
"198166","","","","","","","7407","7407","7407","-21","-21","-21"
"198254","7673","7673","7673","-20","-20","-20","","","","","",""
"198531","7638","7638","7638","-21","-21","-21","","","","","",""
"198593","","","","","","","7524","7524","7524","-21","-21","-21"
"198904","7705","7705","7705","-17","-17","-17","","","","","",""
"199188","7715","7715","7715","-20","-20","-20","","","","","",""
"199294","","","","","","","7487","7423","7551","-21","-21","-21"
"199392","7641","7641","7641","-21","-21","-21","","","","","",""
"199495","","","","","","","7426","7426","7426","-21","-21","-21"
"199699","","","","","","","7504","7504","7504","-21","-21","-21"
"200312","7776","7776","7776","-21","-21","-21","","","","","",""
"200429","","","","","","","7515","7515","7515","-20","-20","-20"
"200629","","","","","","","7643","7643","7643","-21","-21","-21"
"200681","7755.5","7721","7790","-17","-17","-17","","","","","",""
"200853","","","","","","","7651","7651","7651","-21","-21","-21"
"201002","7722","7722","7722","-21","-21","-21","","","","","",""
"201068","","","","","","","7659","7659","7659","-21","-21","-21"
"201473","7816.5","7800","7833","-21","-21","-21","","","","","",""
"201506","","","","","","","7641.5","7605","7678","-20","-20","-20"
"201707","7847","7847","7847","-21","-21","-21","","","","","",""
"201736","","","","","","","7686","7686","7686","-21","-21","-21"
"201931","","","","","","","7611","7611","7611","-21","-21","-21"
"202016","7861","7861","7861","-21","-21","-21","","","","","",""
"202132","","","","","","","7702","7702","7702","-21","-21","-21"
"202277","7803","7803","7803","-21","-21","-21","","","","","",""
"202321","","","","","","","7617","7617","7617","-21","-21","-21"
"202693","7881","7881","7881","-21","-21","-21","","","","","",""
"202777","","","","","","","7745","7745","7745","-20","-20","-20"
"202978","7913","7913","7913","-19","-19","-19","","","","","",""
"203028","","","","","","","7756","7756","7756","-20","-20","-20"
"203184","7923","7923","7923","-21","-21","-21","","","","","",""
"203493","7884","7884","7884","-19","-19","-19","","","","","",""
"203962","7961","7961","7961","-20","-20","-20","","","","","",""
"204123","","","","","","","7758","7717","7799","-21","-21","-21"
"204161","7977","7977","7977","-21","-21","-21","","","","","",""
"204351","","","","","","","7783","7720","7846","-21","-21","-21"
"204371","7975.5","7964","7987","-21","-21","-21","","","","","",""
"204645","","","","","","","7724","7724","7724","-20","-20","-20"
"204677","7983","7965","8001","-20","-20","-20","","","","","",""
"204849","","","","","","","7802","7802","7802","-21","-21","-21"
"205051","","","","","","","7805","7805","7805","-21","-21","-21"
"205201","7998","7967","8029","-21","-21","-21","","","","","",""
"205258","","","","","","","7844.5","7808","7881","-21","-21","-21"
"205455","","","","","","","7811","7811","7811","-21","-21","-21"
"205896","","","","","","","7817","7817","7817","-20","-20","-20"
"205931","8017","7969","8065","-20","-20","-20","","","","","",""
"206100","","","","","","","7866.5","7820","7913","-21","-21","-21"
"206283","8062.5","8046","8079","-20","-20","-20","","","","","",""
"206315","","","","","","","7824","7824","7824","-21","-21","-21"
"206485","8047","8047","8047","-21","-21","-21","","","","","",""
"206504","","","","","","","7949","7949","7949","-21","-21","-21"
"206703","","","","","","","7957","7957","7957","-21","-21","-21"
"206755","8075.5","8048","8103","-20","-20","-20","","","","","",""
"206900","","","","","","","7897","7832","7962","-21","-21","-21"
"207123","","","","","","","7904.5","7836","7973","-20","-20","-20"
"207168","8049","8049","8049","-18","-18","-18","","","","","",""
"207306","","","","","","","7839","7839","7839","-21","-21","-21"
"207537","","","","","","","7952.5","7916","7989","-20","-20","-20"
"207739","","","","","","","7958","7919","7997","-21","-21","-21"
"207848","8143.5","8128","8159","-21","-21","-21","","","","","",""
"208083","8129","8129","8129","-21","-21","-21","","","","","",""
"208209","","","","","","","8055","8055","8055","-21","-21","-21"
"208421","","","","","","","7929","7929","7929","-20","-20","-20"
"208654","","","","","","","8038.5","8006","8071","-21","-21","-21"
"208801","8205","8205","8205","-19","-19","-19","","","","","",""
"209018","8177.5","8132","8223","-21","-21","-21","","","","","",""
"209238","8233","8233","8233","-21","-21","-21","","","","","",""
"209327","","","","","","","8098","8098","8098","-21","-21","-21"
"209737","8257","8257","8257","-21","-21","-21","","","","","",""
"210748","","","","","","","8169","8169","8169","-21","-21","-21"
"210771","8215","8215","8215","-21","-21","-21","","","","","",""
"210975","8216","8216","8216","-21","-21","-21","","","","","",""
"210983","","","","","","","8108","8039","8177","-21","-21","-21"
"211197","","","","","","","8042","8042","8042","-21","-21","-21"
"211205","8292","8292","8292","-21","-21","-21","","","","","",""
"211386","","","","","","","8193","8193","8193","-21","-21","-21"
"211420","8344","8344","8344","-21","-21","-21","","","","","",""
"211892","","","","","","","8212","8212","8212","-21","-21","-21"
"211921","8295","8295","8295","-20","-20","-20","","","","","",""
"212131","","","","","","","8131","8131","8131","-20","-20","-20"
"212133","8385","8385","8385","-21","-21","-21","","","","","",""
"212345","8395","8395","8395","-21","-21","-21","","","","","",""
"212546","8389.5","8374","8405","-21","-21","-21","","","","","",""
"212578","","","","","","","8237","8237","8237","-21","-21","-21"
"212764","","","","","","","8262.5","8240","8285","-21","-21","-21"
"212841","8375","8375","8375","-19","-19","-19","","","","","",""
"212987","","","","","","","8243","8243","8243","-21","-21","-21"
"213235","8406.5","8376","8437","-20","-20","-20","","","","","",""
"213477","8377","8377","8377","-19","-19","-19","","","","","",""
"213594","","","","","","","8317","8317","8317","-20","-20","-20"
"213727","8421.5","8378","8465","-20","-20","-20","","","","","",""
"213879","","","","","","","8256","8256","8256","-20","-20","-20"
"214084","","","","","","","8297.5","8259","8336","-21","-21","-21"
"214171","8470.5","8456","8485","-21","-21","-21","","","","","",""
"214372","8457","8457","8457","-21","-21","-21","","","","","",""
"214524","","","","","","","8266","8266","8266","-21","-21","-21"
"214712","","","","","","","8382","8382","8382","-21","-21","-21"
"214729","8458","8458","8458","-18","-18","-18","","","","","",""
"215387","","","","","","","8379","8352","8406","-21","-21","-21"
"215428","8553","8553","8553","-20","-20","-20","","","","","",""
"215588","","","","","","","8384.5","8355","8414","-21","-21","-21"
"215653","8563","8563","8563","-21","-21","-21","","","","","",""
"215852","","","","","","","8359","8359","8359","-20","-20","-20"
"215854","8538","8538","8538","-21","-21","-21","","","","","",""
"216054","","","","","","","8433","8433","8433","-20","-20","-20"
"216068","8583","8583","8583","-21","-21","-21","","","","","",""
"216253","","","","","","","8479","8479","8479","-21","-21","-21"
"216267","8540","8540","8540","-21","-21","-21","","","","","",""
"216464","","","","","","","8464.5","8442","8487","-21","-21","-21"
"216470","8572","8541","8603","-21","-21","-21","","","","","",""
"216693","","","","","","","8445","8445","8445","-21","-21","-21"
"216760","8617","8617","8617","-21","-21","-21","","","","","",""
"216910","","","","","","","8449","8449","8449","-20","-20","-20"
"217007","8589.5","8543","8636","-21","-21","-21","","","","","",""
"217112","","","","","","","8452","8452","8452","-21","-21","-21"
"217224","8619","8619","8619","-21","-21","-21","","","","","",""
"217327","","","","","","","8488.5","8455","8522","-21","-21","-21"
"217530","","","","","","","8530","8530","8530","-21","-21","-21"
"217745","","","","","","","8461","8461","8461","-20","-20","-20"
"217884","8621","8621","8621","-19","-19","-19","","","","","",""
"218143","8688","8688","8688","-21","-21","-21","","","","","",""
"218348","8660.5","8623","8698","-21","-21","-21","","","","","",""
"218427","","","","","","","8471","8471","8471","-20","-20","-20"
"218546","8700","8700","8700","-21","-21","-21","","","","","",""
"218621","","","","","","","8474","8474","8474","-21","-21","-21"
"218772","8713","8701","8725","-20","-20","-20","","","","","",""
"218856","","","","","","","8477","8477","8477","-20","-20","-20"
"219281","","","","","","","8558","8558","8558","-21","-21","-21"
"219580","8763","8763","8763","-19","-19","-19","","","","","",""
"219736","","","","","","","8565","8565","8565","-21","-21","-21"
"219841","8741","8705","8777","-20","-20","-20","","","","","",""
"220220","","","","","","","8691","8691","8691","-20","-20","-20"
"220602","8803","8784","8822","-20","-20","-20","","","","","",""
"220620","","","","","","","8652","8652","8652","-21","-21","-21"
"220815","8785","8785","8785","-21","-21","-21","","","","","",""
"221052","","","","","","","8690.5","8658","8723","-20","-20","-20"
"221073","8786","8786","8786","-19","-19","-19","","","","","",""
"221516","","","","","","","8703.5","8665","8742","-21","-21","-21"
"221605","8788","8788","8788","-20","-20","-20","","","","","",""
"221953","8836.5","8789","8884","-20","-20","-20","","","","","",""
"221986","","","","","","","8724","8671","8777","-21","-21","-21"
"222366","8908","8908","8908","-19","-19","-19","","","","","",""
"222505","","","","","","","8799","8799","8799","-19","-19","-19"
"222647","8906","8890","8922","-19","-19","-19","","","","","",""
"222740","","","","","","","8682","8682","8682","-19","-19","-19"
"222928","","","","","","","8787","8759","8815","-21","-21","-21"
"223451","","","","","","","8766","8766","8766","-20","-20","-20"
"223685","","","","","","","8842","8842","8842","-21","-21","-21"
