"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"15377","","","","","","","241","241","241","-20","-20","-20"
"15461","204","204","204","-21","-21","-21","","","","","",""
"15576","","","","","","","243","243","243","-21","-21","-21"
"15781","","","","","","","221.5","198","245","-21","-21","-21"
"15835","206","206","206","-21","-21","-21","","","","","",""
"16025","207","207","207","-21","-21","-21","","","","","",""
"16185","","","","","","","200","200","200","-21","-21","-21"
"16209","268","268","268","-21","-21","-21","","","","","",""
"16577","241","210","272","-21","-21","-21","","","","","",""
"16608","","","","","","","202","202","202","-21","-21","-21"
"16767","211","211","211","-21","-21","-21","","","","","",""
"16804","","","","","","","203","203","203","-21","-21","-21"
"16952","212","212","212","-21","-21","-21","","","","","",""
"17139","245.5","213","278","-21","-21","-21","","","","","",""
"17238","","","","","","","232","205","259","-21","-21","-21"
"17323","247","214","280","-21","-21","-21","","","","","",""
"17513","215","215","215","-21","-21","-21","","","","","",""
"17701","250","216","284","-21","-21","-21","","","","","",""
"18072","305","285","325","-21","-21","-21","","","","","",""
"18204","","","","","","","267","267","267","-20","-20","-20"
"18256","306.5","286","327","-21","-21","-21","","","","","",""
"18445","","","","","","","269","269","269","-20","-20","-20"
"18446","308","287","329","-21","-21","-21","","","","","",""
"18628","","","","","","","271","271","271","-21","-21","-21"
"18818","289","289","289","-21","-21","-21","","","","","",""
"19081","","","","","","","213","213","213","-20","-20","-20"
"19193","314","291","337","-21","-21","-21","","","","","",""
"19314","","","","","","","245.5","214","277","-20","-20","-20"
"19520","","","","","","","215","215","215","-21","-21","-21"
"19566","293","293","293","-21","-21","-21","","","","","",""
"19704","","","","","","","216","216","216","-21","-21","-21"
"19749","294","294","294","-21","-21","-21","","","","","",""
"19936","320","295","345","-21","-21","-21","","","","","",""
"20120","296","296","296","-21","-21","-21","","","","","",""
"20143","","","","","","","285","285","285","-20","-20","-20"
"20498","298","298","298","-21","-21","-21","","","","","",""
"20683","326","299","353","-21","-21","-21","","","","","",""
"20839","","","","","","","327","327","327","-20","-20","-20"
"20866","300","300","300","-21","-21","-21","","","","","",""
"21049","357","357","357","-21","-21","-21","","","","","",""
"21078","","","","","","","329","329","329","-20","-20","-20"
"21424","361","361","361","-21","-21","-21","","","","","",""
"21609","","","","","","","311.5","290","333","-20","-20","-20"
"21792","335","305","365","-21","-21","-21","","","","","",""
"21977","336.5","306","367","-21","-21","-21","","","","","",""
"22243","","","","","","","293","293","293","-20","-20","-20"
"22352","308","308","308","-21","-21","-21","","","","","",""
"22429","","","","","","","294","294","294","-21","-21","-21"
"22704","","","","","","","295","295","295","-18","-18","-18"
"22896","","","","","","","320.5","296","345","-21","-21","-21"
"22908","344","311","377","-21","-21","-21","","","","","",""
"23115","","","","","","","322","297","347","-20","-20","-20"
"23279","313","313","313","-21","-21","-21","","","","","",""
"23347","","","","","","","298","298","298","-20","-20","-20"
"23763","","","","","","","326.5","300","353","-20","-20","-20"
"23844","351.5","316","387","-21","-21","-21","","","","","",""
"23966","","","","","","","355","355","355","-21","-21","-21"
"24034","359","317","401","-21","-21","-21","","","","","",""
"24203","","","","","","","329.5","302","357","-20","-20","-20"
"24220","318","318","318","-21","-21","-21","","","","","",""
"24403","362","319","405","-21","-21","-21","","","","","",""
"24464","","","","","","","359","359","359","-20","-20","-20"
"24587","407","407","407","-21","-21","-21","","","","","",""
"24650","","","","","","","332.5","304","361","-21","-21","-21"
"24775","321","321","321","-21","-21","-21","","","","","",""
"24839","","","","","","","305","305","305","-21","-21","-21"
"24963","388","388","388","-21","-21","-21","","","","","",""
"25028","","","","","","","365","365","365","-21","-21","-21"
"25235","","","","","","","337","307","367","-21","-21","-21"
"25338","402.5","390","415","-21","-21","-21","","","","","",""
"25439","","","","","","","308","308","308","-20","-20","-20"
"25525","391","391","391","-21","-21","-21","","","","","",""
"25659","","","","","","","340","309","371","-21","-21","-21"
"25709","392","392","392","-21","-21","-21","","","","","",""
"25883","","","","","","","373","373","373","-21","-21","-21"
"25895","407","393","421","-21","-21","-21","","","","","",""
"26081","408.5","394","423","-21","-21","-21","","","","","",""
"26094","","","","","","","375","375","375","-20","-20","-20"
"26268","425","425","425","-21","-21","-21","","","","","",""
"26323","","","","","","","312","312","312","-19","-19","-19"
"26453","411.5","396","427","-21","-21","-21","","","","","",""
"26636","397","397","397","-21","-21","-21","","","","","",""
"26810","","","","","","","347.5","314","381","-20","-20","-20"
"26826","431","431","431","-21","-21","-21","","","","","",""
"27198","473","473","473","-21","-21","-21","","","","","",""
"27229","","","","","","","316","316","316","-21","-21","-21"
"27453","","","","","","","352","317","387","-21","-21","-21"
"27643","","","","","","","424","424","424","-21","-21","-21"
"27764","458.5","438","479","-21","-21","-21","","","","","",""
"27833","","","","","","","319","319","319","-21","-21","-21"
"27950","481","481","481","-21","-21","-21","","","","","",""
"28035","","","","","","","374","320","428","-21","-21","-21"
"28135","440","440","440","-21","-21","-21","","","","","",""
"28246","","","","","","","321","321","321","-20","-20","-20"
"28652","","","","","","","411.5","389","434","-21","-21","-21"
"28888","444","444","444","-21","-21","-21","","","","","",""
"28906","","","","","","","436","436","436","-20","-20","-20"
"29072","469","445","493","-21","-21","-21","","","","","",""
"29259","446","446","446","-21","-21","-21","","","","","",""
"29391","","","","","","","416","392","440","-21","-21","-21"
"29443","497","497","497","-21","-21","-21","","","","","",""
"29595","","","","","","","417.5","393","442","-21","-21","-21"
"30026","","","","","","","446","446","446","-20","-20","-20"
"30446","","","","","","","397","397","397","-21","-21","-21"
"30567","509","509","509","-21","-21","-21","","","","","",""
"30676","","","","","","","452","452","452","-20","-20","-20"
"30750","511","511","511","-21","-21","-21","","","","","",""
"30896","","","","","","","454","454","454","-21","-21","-21"
"31119","456","456","456","-21","-21","-21","400","400","400","-20","-20","-20"
"31325","","","","","","","458","458","458","-21","-21","-21"
"31498","519","519","519","-21","-21","-21","","","","","",""
"31681","521","521","521","-21","-21","-21","","","","","",""
"31869","460","460","460","-21","-21","-21","","","","","",""
"31961","","","","","","","464","464","464","-21","-21","-21"
"32054","493","461","525","-21","-21","-21","","","","","",""
"32147","","","","","","","466","466","466","-21","-21","-21"
"32238","527","527","527","-21","-21","-21","","","","","",""
"32363","","","","","","","468","468","468","-21","-21","-21"
"32422","463","463","463","-21","-21","-21","","","","","",""
"32588","","","","","","","438.5","407","470","-20","-20","-20"
"32606","531","531","531","-21","-21","-21","","","","","",""
"32791","465","465","465","-21","-21","-21","","","","","",""
"32831","","","","","","","408","408","408","-20","-20","-20"
"33077","","","","","","","409","409","409","-21","-21","-21"
"33164","502","467","537","-21","-21","-21","","","","","",""
"33286","","","","","","","410","410","410","-21","-21","-21"
"33352","519","468","570","-21","-21","-21","","","","","",""
"33489","","","","","","","411","411","411","-20","-20","-20"
"33540","572","572","572","-21","-21","-21","","","","","",""
"33676","","","","","","","412","412","412","-21","-21","-21"
"33860","","","","","","","413","413","413","-21","-21","-21"
"34101","525","472","578","-21","-21","-21","","","","","",""
"34289","559.5","539","580","-21","-21","-21","","","","","",""
"34319","","","","","","","450.5","415","486","-21","-21","-21"
"34553","","","","","","","416","416","416","-20","-20","-20"
"34741","","","","","","","490","490","490","-21","-21","-21"
"34844","542","542","542","-21","-21","-21","","","","","",""
"34927","","","","","","","472.5","418","527","-21","-21","-21"
"35030","543","543","543","-21","-21","-21","","","","","",""
"35115","","","","","","","474","419","529","-21","-21","-21"
"35218","590","590","590","-21","-21","-21","","","","","",""
"35434","","","","","","","420","420","420","-19","-19","-19"
"35591","594","594","594","-21","-21","-21","","","","","",""
"35640","","","","","","","533","533","533","-21","-21","-21"
"35779","596","596","596","-21","-21","-21","","","","","",""
"36153","600","600","600","-21","-21","-21","","","","","",""
"36234","","","","","","","491","491","491","-21","-21","-21"
"36338","602","602","602","-21","-21","-21","","","","","",""
"36525","551","551","551","-21","-21","-21","","","","","",""
"36683","","","","","","","493","493","493","-20","-20","-20"
"36710","606","606","606","-21","-21","-21","","","","","",""
"37130","","","","","","","521","495","547","-21","-21","-21"
"37275","612","612","612","-21","-21","-21","","","","","",""
"37314","","","","","","","549","549","549","-21","-21","-21"
"37462","556","556","556","-21","-21","-21","","","","","",""
"37513","","","","","","","497","497","497","-21","-21","-21"
"37956","","","","","","","555","555","555","-20","-20","-20"
"38019","589.5","559","620","-21","-21","-21","","","","","",""
"38168","","","","","","","557","557","557","-20","-20","-20"
"38207","591","560","622","-21","-21","-21","","","","","",""
"38383","","","","","","","530","501","559","-21","-21","-21"
"38395","561","561","561","-21","-21","-21","","","","","",""
"38579","626","626","626","-21","-21","-21","","","","","",""
"38629","","","","","","","561","561","561","-19","-19","-19"
"38768","563","563","563","-21","-21","-21","","","","","",""
