,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
32,4365.339319483,1754000065.1222892,,557000.0,2.6415365,,,24820,,
33,4415.353608858,1754000110.368201,0.433774,562900.0,,,,25093,,
34,4470.368934826,1754000175.7189581,0.434284,571400.0,,,,25479,,
35,4615.410767017,1754000317.6499577,,589850.0,,660.0,,26323,,
36,4645.417899706,1754000341.4815123,,592900.0,,,128.0,26463,,
37,4660.422767647,1754000363.4247544,,595700.0,,,,26590,-4.046507,
38,4780.453592783,1754000479.8616483,,610600.0,2.0722044,,,27270,,
39,4980.506090874,1754000681.6599028,,636800.0,1.9294378,,,28465,,
40,5270.585355866,1754000978.6195433,,675200.0,2.5895379,,,30209,,
41,5285.588083813,1754000981.7968063,,675633.0,,,,30232,,-17.0
42,5335.599994774,1754001032.5250933,,682300.0,,,128.0,30537,,
43,5430.627766281,1754001131.2875447,0.441706,695100.0,,,,31118,,
44,5445.632343803,1754001145.5112212,0.44182,697000.0,,,,31203,,
45,5875.750058851,1754001569.569668,,751100.0,,,,33657,-3.2140107,
46,5940.767676138,1754001633.505676,,759100.0,2.3152256,,,34021,,
47,5980.779075904,1754001686.5944588,,765761.0,,524.0,,34321,,
