"global_step","rainbow_dqn_sweep_config4 - _step","rainbow_dqn_sweep_config4 - _step__MIN","rainbow_dqn_sweep_config4 - _step__MAX","rainbow_dqn_sweep_config4 - charts/episodic_return","rainbow_dqn_sweep_config4 - charts/episodic_return__MIN","rainbow_dqn_sweep_config4 - charts/episodic_return__MAX","rainbow_dqn_sweep_config3 - _step","rainbow_dqn_sweep_config3 - _step__MIN","rainbow_dqn_sweep_config3 - _step__MAX","rainbow_dqn_sweep_config3 - charts/episodic_return","rainbow_dqn_sweep_config3 - charts/episodic_return__MIN","rainbow_dqn_sweep_config3 - charts/episodic_return__MAX","rainbow_dqn_sweep_config2 - _step","rainbow_dqn_sweep_config2 - _step__MIN","rainbow_dqn_sweep_config2 - _step__MAX","rainbow_dqn_sweep_config2 - charts/episodic_return","rainbow_dqn_sweep_config2 - charts/episodic_return__MIN","rainbow_dqn_sweep_config2 - charts/episodic_return__MAX","rainbow_dqn_sweep_config1 - _step","rainbow_dqn_sweep_config1 - _step__MIN","rainbow_dqn_sweep_config1 - _step__MAX","rainbow_dqn_sweep_config1 - charts/episodic_return","rainbow_dqn_sweep_config1 - charts/episodic_return__MIN","rainbow_dqn_sweep_config1 - charts/episodic_return__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX"
"201473","","","","","","","","","","","","","","","","","","","","","","","","","7800","7800","7800","-21","-21","-21"
"201540","","","","","","","","","","","","","7707","7686","7728","-17","-17","-17","","","","","","","","","","","",""
"201586","","","","","","","","","","","","","","","","","","","5097.5","5077","5118","-19","-19","-19","","","","","",""
"201625","","","","","","","7503","7503","7503","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"201707","","","","","","","","","","","","","","","","","","","","","","","","","7847","7847","7847","-21","-21","-21"
"201844","7419","7419","7419","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"201871","","","","","","","","","","","","","7714.5","7687","7742","-19","-19","-19","","","","","","","","","","","",""
"201933","","","","","","","","","","","","","","","","","","","5103","5078","5128","-21","-21","-21","","","","","",""
"202034","","","","","","","7507","7493","7521","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"202226","","","","","","","","","","","","","7724","7688","7760","-17","-17","-17","","","","","","","","","","","",""
"202267","7406.5","7376","7437","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"202277","","","","","","","","","","","","","","","","","","","","","","","","","7803","7803","7803","-21","-21","-21"
"202297","","","","","","","","","","","","","","","","","","","5108.5","5079","5138","-20","-20","-20","","","","","",""
"202404","","","","","","","7516.5","7494","7539","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"202520","","","","","","","","","","","","","7772.5","7765","7780","-20","-20","-20","","","","","","","","","","","",""
"202588","7414","7377","7451","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"202693","","","","","","","","","","","","","","","","","","","","","","","","","7899","7899","7899","-21","-21","-21"
"202698","","","","","","","","","","","","","","","","","","","5114","5080","5148","-20","-20","-20","","","","","",""
"202830","","","","","","","","","","","","","7780","7766","7794","-19","-19","-19","","","","","","","","","","","",""
"202847","","","","","","","7526","7495","7557","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"202948","7454","7454","7454","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"203131","","","","","","","","","","","","","","","","","","","5124","5081","5167","-21","-21","-21","","","","","",""
"203182","","","","","","","","","","","","","7787.5","7767","7808","-17","-17","-17","","","","","","","","","","","",""
"203184","","","","","","","","","","","","","","","","","","","","","","","","","7903","7883","7923","-21","-21","-21"
"203214","","","","","","","7537.5","7496","7579","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"203493","","","","","","","","","","","","","","","","","","","","","","","","","7884","7884","7884","-19","-19","-19"
"203522","","","","","","","","","","","","","","","","","","","5167","5157","5177","-18","-18","-18","","","","","",""
"203567","","","","","","","7583.5","7574","7593","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"203587","","","","","","","","","","","","","7797","7768","7826","-15","-15","-15","","","","","","","","","","","",""
"203740","","","","","","","","","","","","","","","","","","","","","","","","","7951","7951","7951","-21","-21","-21"
"203843","","","","","","","","","","","","","","","","","","","5172.5","5158","5187","-20","-20","-20","","","","","",""
"203844","7456","7456","7456","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"203923","","","","","","","7593","7575","7611","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"203962","","","","","","","","","","","","","","","","","","","","","","","","","7961","7961","7961","-20","-20","-20"
"203983","","","","","","","","","","","","","7806.5","7769","7844","-15","-15","-15","","","","","","","","","","","",""
"204192","","","","","","","","","","","","","","","","","","","5176","5159","5193","-21","-21","-21","","","","","",""
"204312","","","","","","","","","","","","","7818","7770","7866","-18","-18","-18","","","","","","","","","","","",""
"204313","","","","","","","7602.5","7576","7629","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"204371","","","","","","","","","","","","","","","","","","","","","","","","","7987","7987","7987","-21","-21","-21"
"204620","","","","","","","7610","7577","7643","-21","-21","-21","","","","","","","","","","","","","","","","","",""
"204661","","","","","","","","","","","","","","","","","","","5183.5","5160","5207","-19","-19","-19","","","","","",""
"204710","","","","","","","","","","","","","7865.5","7847","7884","-15","-15","-15","","","","","","","","","","","",""
"204729","7535","7535","7535","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"204998","","","","","","","","","","","","","","","","","","","","","","","","","7966","7966","7966","-19","-19","-19"
"205003","","","","","","","","","","","","","","","","","","","5189","5161","5217","-21","-21","-21","","","","","",""
"205022","","","","","","","7663","7663","7663","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"205046","","","","","","","","","","","","","7873","7848","7898","-18","-18","-18","","","","","","","","","","","",""
"205128","7536","7536","7536","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"205201","","","","","","","","","","","","","","","","","","","","","","","","","7998","7967","8029","-21","-21","-21"
"205350","","","","","","","","","","","","","","","","","","","5192.5","5162","5223","-21","-21","-21","","","","","",""
"205408","","","","","","","","","","","","","7882.5","7849","7916","-16","-16","-16","","","","","","","","","","","",""
"205449","","","","","","","7681","7681","7681","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"205540","7537","7537","7537","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"205697","","","","","","","","","","","","","7888","7850","7926","-20","-20","-20","","","","","","","","","","","",""
"205724","","","","","","","","","","","","","","","","","","","5198","5163","5233","-21","-21","-21","","","","","",""
"205867","","","","","","","7699","7699","7699","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"205931","","","","","","","","","","","","","","","","","","","","","","","","","8065","8065","8065","-20","-20","-20"
"205996","7574.5","7538","7611","-18","-18","-18","","","","","","","","","","","","","","","","","","","","","","","",""
"206049","","","","","","","","","","","","","7936","7927","7945","-18","-18","-18","","","","","","","","","","","",""
"206113","","","","","","","","","","","","","","","","","","","5207.5","5164","5251","-20","-20","-20","","","","","",""
"206283","","","","","","","","","","","","","","","","","","","","","","","","","8079","8079","8079","-20","-20","-20"
"206285","","","","","","","7711","7700","7722","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"206363","","","","","","","","","","","","","7960","7955","7965","-19","-19","-19","","","","","","","","","","","",""
"206447","","","","","","","","","","","","","","","","","","","5213","5165","5261","-21","-21","-21","","","","","",""
"206505","7628","7615","7641","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"206689","","","","","","","7701","7701","7701","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"206697","","","","","","","","","","","","","7967.5","7956","7979","-17","-17","-17","","","","","","","","","","","",""
"206755","","","","","","","","","","","","","","","","","","","","","","","","","8075.5","8048","8103","-20","-20","-20"
"206783","","","","","","","","","","","","","","","","","","","5254","5241","5267","-21","-21","-21","","","","","",""
"206893","7635.5","7616","7655","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"207030","","","","","","","","","","","","","7977","7957","7997","-18","-18","-18","","","","","","","","","","","",""
"207115","","","","","","","7762","7762","7762","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"207145","","","","","","","","","","","","","","","","","","","5259.5","5242","5277","-20","-20","-20","","","","","",""
"207372","7677","7677","7677","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"207380","","","","","","","","","","","","","7984.5","7958","8011","-18","-18","-18","","","","","","","","","","","",""
"207552","","","","","","","7743.5","7703","7784","-16","-16","-16","","","","","","","","","","","","","","","","","",""
"207564","","","","","","","","","","","","","","","","","","","5265","5243","5287","-21","-21","-21","","","","","",""
"207687","","","","","","","","","","","","","7992","7959","8025","-19","-19","-19","","","","","","","","","","","",""
"207804","7699","7699","7699","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"207907","","","","","","","7791","7780","7802","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"207952","","","","","","","","","","","","","","","","","","","5270.5","5244","5297","-21","-21","-21","","","","","",""
"208079","","","","","","","","","","","","","8004","7960","8048","-15","-15","-15","","","","","","","","","","","",""
"208351","","","","","","","","","","","","","","","","","","","5276","5245","5307","-21","-21","-21","","","","","",""
"208367","","","","","","","7800.5","7781","7820","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"208392","7719.5","7713","7726","-13","-13","-13","","","","","","","","","","","","","","","","","","","","","","","",""
"208467","","","","","","","","","","","","","8051.5","8037","8066","-14","-14","-14","","","","","","","","","","","",""
"208504","","","","","","","","","","","","","","","","","","","","","","","","","8130","8130","8130","-19","-19","-19"
"208707","","","","","","","","","","","","","","","","","","","5281.5","5246","5317","-20","-20","-20","","","","","",""
"208765","7714","7714","7714","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"208789","","","","","","","7838","7838","7838","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"208804","","","","","","","","","","","","","8061","8038","8084","-17","-17","-17","","","","","","","","","","","",""
"209018","","","","","","","","","","","","","","","","","","","","","","","","","8177.5","8132","8223","-21","-21","-21"
"209075","","","","","","","","","","","","","","","","","","","5290.5","5247","5334","-19","-19","-19","","","","","",""
"209165","","","","","","","7819.5","7783","7856","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"209167","","","","","","","","","","","","","8068.5","8039","8098","-17","-17","-17","","","","","","","","","","","",""
"209171","7738.5","7715","7762","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"209238","","","","","","","","","","","","","","","","","","","","","","","","","8233","8233","8233","-21","-21","-21"
"209458","","","","","","","","","","","","","","","","","","","5296","5248","5344","-20","-20","-20","","","","","",""
"209466","","","","","","","","","","","","","","","","","","","","","","","","","8210","8210","8210","-20","-20","-20"
"209485","","","","","","","","","","","","","8076","8040","8112","-18","-18","-18","","","","","","","","","","","",""
"209557","7748","7716","7780","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"209560","","","","","","","7869","7860","7878","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"209737","","","","","","","","","","","","","","","","","","","","","","","","","8234","8211","8257","-21","-21","-21"
"209874","","","","","","","","","","","","","","","","","","","5339","5324","5354","-21","-21","-21","","","","","",""
"209885","","","","","","","7876.5","7861","7892","-21","-21","-21","","","","","","","","","","","","","","","","","",""
"209908","","","","","","","","","","","","","8089.5","8041","8138","-14","-14","-14","","","","","","","","","","","",""
"209974","","","","","","","","","","","","","","","","","","","","","","","","","8239.5","8212","8267","-21","-21","-21"
"209993","7760","7717","7803","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"210268","","","","","","","","","","","","","8135","8118","8152","-17","-17","-17","","","","","","","","","","","",""
"210274","","","","","","","","","","","","","","","","","","","","","","","","","8213","8213","8213","-19","-19","-19"
"210299","","","","","","","","","","","","","","","","","","","5344.5","5325","5364","-19","-19","-19","","","","","",""
"210302","","","","","","","7888","7862","7914","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"210452","7825","7825","7825","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"210521","","","","","","","","","","","","","","","","","","","","","","","","","8300","8300","8300","-21","-21","-21"
"210609","","","","","","","","","","","","","8144.5","8119","8170","-18","-18","-18","","","","","","","","","","","",""
"210667","","","","","","","7895.5","7863","7928","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"210670","","","","","","","","","","","","","","","","","","","5350","5326","5374","-21","-21","-21","","","","","",""
"210771","","","","","","","","","","","","","","","","","","","","","","","","","8262.5","8215","8310","-21","-21","-21"
"210840","7819","7795","7843","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"210950","","","","","","","","","","","","","","","","","","","5353.5","5327","5380","-20","-20","-20","","","","","",""
"210975","","","","","","","","","","","","","","","","","","","","","","","","","8216","8216","8216","-21","-21","-21"
"211009","","","","","","","","","","","","","8154","8120","8188","-16","-16","-16","","","","","","","","","","","",""
"211059","","","","","","","7951","7951","7951","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"211205","","","","","","","","","","","","","","","","","","","","","","","","","8334","8334","8334","-21","-21","-21"
"211245","7861","7861","7861","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"211341","","","","","","","","","","","","","","","","","","","5359","5328","5390","-20","-20","-20","","","","","",""
"211358","","","","","","","","","","","","","8164.5","8121","8208","-19","-19","-19","","","","","","","","","","","",""
"211420","","","","","","","","","","","","","","","","","","","","","","","","","8293","8293","8293","-21","-21","-21"
"211429","","","","","","","7955.5","7942","7969","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"211673","7797","7797","7797","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"211687","","","","","","","","","","","","","8210","8198","8222","-18","-18","-18","","","","","","","","","","","",""
"211725","","","","","","","","","","","","","","","","","","","5364.5","5329","5400","-20","-20","-20","","","","","",""
"211765","","","","","","","7963","7943","7983","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"211921","","","","","","","","","","","","","","","","","","","","","","","","","8331.5","8295","8368","-20","-20","-20"
"212029","","","","","","","","","","","","","8219.5","8199","8240","-17","-17","-17","","","","","","","","","","","",""
"212042","","","","","","","","","","","","","","","","","","","5374","5330","5418","-21","-21","-21","","","","","",""
"212133","","","","","","","","","","","","","","","","","","","","","","","","","8385","8385","8385","-21","-21","-21"
"212134","","","","","","","8001","8001","8001","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"212345","","","","","","","","","","","","","","","","","","","","","","","","","8373","8373","8373","-21","-21","-21"
"212377","","","","","","","","","","","","","","","","","","","5415","5406","5424","-21","-21","-21","","","","","",""
"212388","","","","","","","","","","","","","8227","8200","8254","-17","-17","-17","","","","","","","","","","","",""
"212452","7897","7876","7918","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"212488","","","","","","","7980","7945","8015","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"212650","","","","","","","","","","","","","","","","","","","5420.5","5407","5434","-21","-21","-21","","","","","",""
"212674","","","","","","","","","","","","","8234.5","8201","8268","-21","-21","-21","","","","","","","","","","","",""
"212854","7936","7936","7936","-18","-18","-18","","","","","","","","","","","","","","","","","","","","","","","",""
"212930","","","","","","","8030.5","8022","8039","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"212992","","","","","","","","","","","","","8244","8202","8286","-19","-19","-19","","","","","","","","","","","",""
"213015","","","","","","","","","","","","","","","","","","","5426","5408","5444","-19","-19","-19","","","","","",""
"213235","","","","","","","","","","","","","","","","","","","","","","","","","8376","8376","8376","-20","-20","-20"
"213292","7954","7954","7954","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"213303","","","","","","","8040","8023","8057","-21","-21","-21","8253.5","8203","8304","-19","-19","-19","","","","","","","","","","","",""
"213404","","","","","","","","","","","","","","","","","","","5431.5","5409","5454","-18","-18","-18","","","","","",""
"213624","","","","","","","","","","","","","8299.5","8281","8318","-18","-18","-18","","","","","","","","","","","",""
"213665","","","","","","","8076","8076","8076","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"213680","7955","7955","7955","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"213721","","","","","","","","","","","","","","","","","","","5435","5410","5460","-21","-21","-21","","","","","",""
"213727","","","","","","","","","","","","","","","","","","","","","","","","","8421.5","8378","8465","-20","-20","-20"
"213931","","","","","","","","","","","","","","","","","","","","","","","","","8475","8475","8475","-21","-21","-21"
"213940","","","","","","","","","","","","","8307","8282","8332","-19","-19","-19","","","","","","","","","","","",""
"214031","","","","","","","8079","8064","8094","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"214069","7995","7995","7995","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"214163","","","","","","","","","","","","","","","","","","","5440.5","5411","5470","-19","-19","-19","","","","","",""
"214171","","","","","","","","","","","","","","","","","","","","","","","","","8456","8456","8456","-21","-21","-21"
"214223","","","","","","","","","","","","","8314.5","8283","8346","-21","-21","-21","","","","","","","","","","","",""
"214453","","","","","","","8065","8065","8065","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"214594","","","","","","","","","","","","","8322","8284","8360","-17","-17","-17","","","","","","","","","","","",""
"214604","","","","","","","","","","","","","","","","","","","5448","5412","5484","-20","-20","-20","","","","","",""
"214729","","","","","","","","","","","","","","","","","","","","","","","","","8485.5","8458","8513","-18","-18","-18"
"214783","","","","","","","8126","8126","8126","-21","-21","-21","","","","","","","","","","","","","","","","","",""
"214829","7994.5","7958","8031","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"214944","","","","","","","","","","","","","","","","","","","5451.5","5413","5490","-21","-21","-21","","","","","",""
"214987","","","","","","","","","","","","","8372.5","8361","8384","-16","-16","-16","","","","","","","","","","","",""
"215050","","","","","","","","","","","","","","","","","","","","","","","","","8493","8459","8527","-19","-19","-19"
"215173","","","","","","","8107.5","8067","8148","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"215195","7959","7959","7959","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"215309","","","","","","","","","","","","","","","","","","","5502.5","5496","5509","-20","-20","-20","","","","","",""
"215319","","","","","","","","","","","","","8382","8362","8402","-19","-19","-19","","","","","","","","","","","",""
"215428","","","","","","","","","","","","","","","","","","","","","","","","","8536","8536","8536","-20","-20","-20"
"215608","8071","8071","8071","-19","-19","-19","8157","8144","8170","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"215616","","","","","","","","","","","","","8389.5","8363","8416","-19","-19","-19","","","","","","","","","","","",""
"215695","","","","","","","","","","","","","","","","","","","5508","5497","5519","-21","-21","-21","","","","","",""
"215942","8037","8037","8037","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"215963","","","","","","","","","","","","","8397","8364","8430","-18","-18","-18","","","","","","","","","","","",""
"215979","","","","","","","","","","","","","","","","","","","5511.5","5498","5525","-21","-21","-21","","","","","",""
"215989","","","","","","","8164.5","8145","8184","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"216068","","","","","","","","","","","","","","","","","","","","","","","","","8561","8539","8583","-21","-21","-21"
"216305","","","","","","","","","","","","","8408.5","8365","8452","-19","-19","-19","","","","","","","","","","","",""
"216313","8070.5","8038","8103","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"216415","","","","","","","8146","8146","8146","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"216429","","","","","","","","","","","","","","","","","","","5519","5499","5539","-20","-20","-20","","","","","",""
"216470","","","","","","","","","","","","","","","","","","","","","","","","","8541","8541","8541","-21","-21","-21"
"216605","","","","","","","","","","","","","8416","8366","8466","-19","-19","-19","","","","","","","","","","","",""
"216685","8121","8121","8121","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"216749","","","","","","","8147","8147","8147","-21","-21","-21","","","","","","","","","","","","","","","","","",""
"216835","","","","","","","","","","","","","","","","","","","5524.5","5500","5549","-19","-19","-19","","","","","",""
"216906","","","","","","","","","","","","","8461.5","8443","8480","-20","-20","-20","","","","","","","","","","","",""
"217007","","","","","","","","","","","","","","","","","","","","","","","","","8636","8636","8636","-21","-21","-21"
"217144","8130","8117","8143","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"217180","","","","","","","","","","","","","","","","","","","5528","5501","5555","-21","-21","-21","","","","","",""
"217217","","","","","","","","","","","","","8469","8444","8494","-18","-18","-18","","","","","","","","","","","",""
"217224","","","","","","","","","","","","","","","","","","","","","","","","","8632.5","8619","8646","-21","-21","-21"
"217485","8118","8118","8118","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"217508","","","","","","","","","","","","","8476.5","8445","8508","-21","-21","-21","","","","","","","","","","","",""
"217516","","","","","","","","","","","","","","","","","","","","","","","","","8660","8660","8660","-20","-20","-20"
"217527","","","","","","","8260","8260","8260","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"217570","","","","","","","","","","","","","","","","","","","5533.5","5502","5565","-19","-19","-19","","","","","",""
"217847","","","","","","","","","","","","","8484","8446","8522","-18","-18","-18","","","","","","","","","","","",""
"217884","","","","","","","","","","","","","","","","","","","","","","","","","8674","8674","8674","-19","-19","-19"
"217910","","","","","","","","","","","","","","","","","","","5539","5503","5575","-21","-21","-21","","","","","",""
"217933","8119","8119","8119","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"217978","","","","","","","8252","8226","8278","-16","-16","-16","","","","","","","","","","","","","","","","","",""
"218143","","","","","","","","","","","","","","","","","","","","","","","","","8622","8622","8622","-21","-21","-21"
"218154","","","","","","","","","","","","","8532","8523","8541","-20","-20","-20","","","","","","","","","","","",""
"218228","","","","","","","","","","","","","","","","","","","5549","5504","5594","-20","-20","-20","","","","","",""
"218333","8160.5","8120","8201","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"218361","","","","","","","8227","8227","8227","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"218531","","","","","","","","","","","","","8541.5","8524","8559","-15","-15","-15","","","","","","","","","","","",""
"218597","","","","","","","","","","","","","","","","","","","5590","5580","5600","-21","-21","-21","","","","","",""
"218753","","","","","","","8319","8319","8319","-16","-16","-16","","","","","","","","","","","","","","","","","",""
"218858","","","","","","","","","","","","","8549","8525","8573","-20","-20","-20","","","","","","","","","","","",""
"218880","","","","","","","","","","","","","","","","","","","5595.5","5581","5610","-20","-20","-20","","","","","",""
"219085","8215.5","8198","8233","-21","-21","-21","","","","","","","","","","","","","","","","","","","","","","","",""
"219144","","","","","","","8321.5","8306","8337","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"219213","","","","","","","","","","","","","8558.5","8526","8591","-16","-16","-16","","","","","","","","","","","",""
"219218","","","","","","","","","","","","","","","","","","","5601","5582","5620","-19","-19","-19","","","","","",""
"219252","","","","","","","","","","","","","","","","","","","","","","","","","8703","8703","8703","-21","-21","-21"
"219541","","","","","","","8355","8355","8355","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"219559","8199","8199","8199","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"219580","","","","","","","","","","","","","","","","","","","","","","","","","8763","8763","8763","-19","-19","-19"
"219586","","","","","","","","","","","","","8569","8527","8611","-16","-16","-16","","","","","","","","","","","",""
"219615","","","","","","","","","","","","","","","","","","","5606.5","5583","5630","-21","-21","-21","","","","","",""
"219841","","","","","","","","","","","","","","","","","","","","","","","","","8777","8777","8777","-20","-20","-20"
"219882","","","","","","","8369","8369","8369","-21","-21","-21","","","","","","","","","","","","","","","","","",""
"219956","","","","","","","","","","","","","8617","8605","8629","-17","-17","-17","","","","","","","","","","","",""
"219957","","","","","","","","","","","","","","","","","","","5610","5584","5636","-21","-21","-21","","","","","",""
"220033","","","","","","","","","","","","","","","","","","","","","","","","","8750","8706","8794","-21","-21","-21"
"220056","8238.5","8200","8277","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"220256","","","","","","","","","","","","","","","","","","","5615.5","5585","5646","-20","-20","-20","","","","","",""
"220269","","","","","","","8349","8309","8389","-20","-20","-20","","","","","","","","","","","","","","","","","",""
"220315","","","","","","","","","","","","","8626.5","8606","8647","-17","-17","-17","","","","","","","","","","","",""
"220336","","","","","","","","","","","","","","","","","","","","","","","","","8795.5","8783","8808","-20","-20","-20"
"220459","8287.5","8278","8297","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"220595","","","","","","","","","","","","","","","","","","","5619","5586","5652","-20","-20","-20","","","","","",""
"220681","","","","","","","8396.5","8386","8407","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"220703","","","","","","","","","","","","","8636","8607","8665","-16","-16","-16","","","","","","","","","","","",""
"220951","8319","8319","8319","-17","-17","-17","","","","","","","","","","","","","","","","","","","","","","","",""
"220955","","","","","","","","","","","","","","","","","","","5624.5","5587","5662","-21","-21","-21","","","","","",""
"221014","","","","","","","","","","","","","8643.5","8608","8679","-19","-19","-19","","","","","","","","","","","",""
"221073","","","","","","","8425","8425","8425","-18","-18","-18","","","","","","","","","","","","","8786","8786","8786","-19","-19","-19"
"221289","","","","","","","","","","","","","","","","","","","5633.5","5588","5679","-21","-21","-21","","","","","",""
"221309","","","","","","","","","","","","","8651","8609","8693","-20","-20","-20","","","","","","","","","","","",""
"221335","","","","","","","","","","","","","","","","","","","","","","","","","8787","8787","8787","-21","-21","-21"
"221346","8325","8325","8325","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"221541","","","","","","","8431","8431","8431","-17","-17","-17","","","","","","","","","","","","","","","","","",""
"221605","","","","","","","","","","","","","","","","","","","","","","","","","8829","8788","8870","-20","-20","-20"
"221645","","","","","","","","","","","","","","","","","","","5676","5663","5689","-20","-20","-20","","","","","",""
"221649","","","","","","","","","","","","","8658.5","8610","8707","-18","-18","-18","","","","","","","","","","","",""
"221737","8343","8326","8360","-18","-18","-18","","","","","","","","","","","","","","","","","","","","","","","",""
"221953","","","","","","","","","","","","","","","","","","","","","","","","","8884","8884","8884","-20","-20","-20"
"221979","","","","","","","","","","","","","","","","","","","5679.5","5664","5695","-21","-21","-21","","","","","",""
"221992","","","","","","","","","","","","","8719.5","8713","8726","-18","-18","-18","","","","","","","","","","","",""
"222001","","","","","","","8452.5","8432","8473","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"222227","8354.5","8327","8382","-18","-18","-18","","","","","","","","","","","","","","","","","","","","","","","",""
"222342","","","","","","","","","","","","","","","","","","","5685","5665","5705","-21","-21","-21","","","","","",""
"222364","","","","","","","8460","8433","8487","-18","-18","-18","","","","","","","","","","","","","","","","","",""
"222366","","","","","","","","","","","","","","","","","","","","","","","","","8898.5","8889","8908","-19","-19","-19"
"222408","","","","","","","","","","","","","8731","8714","8748","-15","-15","-15","","","","","","","","","","","",""
"222614","8364","8328","8400","-20","-20","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"222647","","","","","","","","","","","","","","","","","","","","","","","","","8890","8890","8890","-19","-19","-19"
"222695","","","","","","","","","","","","","","","","","","","5690.5","5666","5715","-20","-20","-20","","","","","",""
"222746","","","","","","","8505","8505","8505","-19","-19","-19","","","","","","","","","","","","","","","","","",""
"222791","","","","","","","","","","","","","8738.5","8715","8762","-15","-15","-15","","","","","","","","","","","",""
"222894","","","","","","","","","","","","","","","","","","","","","","","","","8891","8891","8891","-21","-21","-21"
"223001","8375.5","8329","8422","-19","-19","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"223093","","","","","","","","","","","","","","","","","","","5696","5667","5725","-21","-21","-21","","","","","",""
"223147","","","","","","","8511","8511","8511","-17","-17","-17","","","","","","","","","","","","","","","","","",""
