"global_step","rainbow_dqn_sweep_config4 - _step","rainbow_dqn_sweep_config4 - _step__MIN","rainbow_dqn_sweep_config4 - _step__MAX","rainbow_dqn_sweep_config4 - charts/episodic_return","rainbow_dqn_sweep_config4 - charts/episodic_return__MIN","rainbow_dqn_sweep_config4 - charts/episodic_return__MAX","rainbow_dqn_sweep_config3 - _step","rainbow_dqn_sweep_config3 - _step__MIN","rainbow_dqn_sweep_config3 - _step__MAX","rainbow_dqn_sweep_config3 - charts/episodic_return","rainbow_dqn_sweep_config3 - charts/episodic_return__MIN","rainbow_dqn_sweep_config3 - charts/episodic_return__MAX","rainbow_dqn_sweep_config2 - _step","rainbow_dqn_sweep_config2 - _step__MIN","rainbow_dqn_sweep_config2 - _step__MAX","rainbow_dqn_sweep_config2 - charts/episodic_return","rainbow_dqn_sweep_config2 - charts/episodic_return__MIN","rainbow_dqn_sweep_config2 - charts/episodic_return__MAX","rainbow_dqn_sweep_config1 - _step","rainbow_dqn_sweep_config1 - _step__MIN","rainbow_dqn_sweep_config1 - _step__MAX","rainbow_dqn_sweep_config1 - charts/episodic_return","rainbow_dqn_sweep_config1 - charts/episodic_return__MIN","rainbow_dqn_sweep_config1 - charts/episodic_return__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX"
"4664","","","","","","","","","","","","","","","","","","","","","","","","","52.5","24","81","-21","-21","-21"
"4665","52.5","24","81","-21","-21","-21","50.5","24","77","-21","-21","-21","51","24","78","-21","-21","-21","52.5","24","81","-21","-21","-21","","","","","",""
"4851","54","25","83","-21","-21","-21","25","25","25","-21","-21","-21","52.5","25","80","-21","-21","-21","54","25","83","-21","-21","-21","","","","","",""
"5040","26","26","26","-21","-21","-21","81","81","81","-21","-21","-21","54","26","82","-21","-21","-21","55.5","26","85","-21","-21","-21","","","","","",""
"5044","","","","","","","","","","","","","","","","","","","","","","","","","55.5","26","85","-21","-21","-21"
"5230","27","27","27","-21","-21","-21","73.5","27","120","-21","-21","-21","71.5","27","116","-21","-21","-21","72.5","27","118","-21","-21","-21","","","","","",""
"5231","","","","","","","","","","","","","","","","","","","","","","","","","87","87","87","-21","-21","-21"
"5414","","","","","","","","","","","","","","","","","","","","","","","","","74","28","120","-21","-21","-21"
"5420","74","28","120","-21","-21","-21","75","28","122","-21","-21","-21","73","28","118","-21","-21","-21","74","28","120","-21","-21","-21","","","","","",""
"5597","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","-21","-21","-21"
"5606","29","29","29","-21","-21","-21","124","124","124","-21","-21","-21","74.5","29","120","-21","-21","-21","75.5","29","122","-21","-21","-21","","","","","",""
"5781","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","-21","-21","-21"
"5795","30","30","30","-21","-21","-21","105","84","126","-21","-21","-21","103","84","122","-21","-21","-21","77","30","124","-21","-21","-21","","","","","",""
"5969","","","","","","","","","","","","","","","","","","","","","","","","","126","126","126","-21","-21","-21"
"5983","126","126","126","-21","-21","-21","85","85","85","-21","-21","-21","104.5","85","124","-21","-21","-21","78.5","31","126","-21","-21","-21","","","","","",""
"6153","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","-21","-21","-21"
"6172","128","128","128","-21","-21","-21","130","130","130","-21","-21","-21","106","86","126","-21","-21","-21","80","32","128","-21","-21","-21","","","","","",""
"6337","","","","","","","","","","","","","","","","","","","","","","","","","88","88","88","-21","-21","-21"
"6355","108.5","87","130","-21","-21","-21","109.5","87","132","-21","-21","-21","107.5","87","128","-21","-21","-21","108.5","87","130","-21","-21","-21","","","","","",""
"6524","","","","","","","","","","","","","","","","","","","","","","","","","89","89","89","-21","-21","-21"
"6538","110","88","132","-21","-21","-21","88","88","88","-21","-21","-21","109","88","130","-21","-21","-21","110","88","132","-21","-21","-21","","","","","",""
"6725","89","89","89","-21","-21","-21","112.5","89","136","-21","-21","-21","110.5","89","132","-21","-21","-21","111.5","89","134","-21","-21","-21","","","","","",""
"6898","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","-21","-21","-21"
"6914","113","90","136","-21","-21","-21","114","90","138","-21","-21","-21","112","90","134","-21","-21","-21","113","90","136","-21","-21","-21","","","","","",""
"7083","","","","","","","","","","","","","","","","","","","","","","","","","115","92","138","-21","-21","-21"
"7099","114.5","91","138","-21","-21","-21","91","91","91","-21","-21","-21","113.5","91","136","-21","-21","-21","114.5","91","138","-21","-21","-21","","","","","",""
"7272","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","-21","-21","-21"
"7282","140","140","140","-21","-21","-21","117","92","142","-21","-21","-21","115","92","138","-21","-21","-21","116","92","140","-21","-21","-21","","","","","",""
"7470","","","","","","","144","144","144","-21","-21","-21","116.5","93","140","-21","-21","-21","117.5","93","142","-21","-21","-21","","","","","",""
"7650","","","","","","","","","","","","","","","","","","","","","","","","","95","95","95","-21","-21","-21"
"7658","144","144","144","-21","-21","-21","146","146","146","-21","-21","-21","118","94","142","-21","-21","-21","119","94","144","-21","-21","-21","","","","","",""
"7835","","","","","","","","","","","","","","","","","","","","","","","","","96","96","96","-21","-21","-21"
"7845","95","95","95","-21","-21","-21","121.5","95","148","-21","-21","-21","119.5","95","144","-21","-21","-21","120.5","95","146","-21","-21","-21","","","","","",""
"8018","","","","","","","","","","","","","","","","","","","","","","","","","122.5","97","148","-21","-21","-21"
"8033","96","96","96","-21","-21","-21","96","96","96","-21","-21","-21","121","96","146","-21","-21","-21","122","96","148","-21","-21","-21","","","","","",""
"8201","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","-21","-21","-21"
"8217","123.5","97","150","-21","-21","-21","","","","","","","122.5","97","148","-21","-21","-21","123.5","97","150","-21","-21","-21","","","","","",""
"8387","","","","","","","","","","","","","","","","","","","","","","","","","99","99","99","-21","-21","-21"
"8401","98","98","98","-21","-21","-21","126","98","154","-21","-21","-21","124","98","150","-21","-21","-21","125","98","152","-21","-21","-21","","","","","",""
"8572","","","","","","","","","","","","","","","","","","","","","","","","","154","154","154","-21","-21","-21"
"8587","99","99","99","-21","-21","-21","99","99","99","-21","-21","-21","125.5","99","152","-21","-21","-21","126.5","99","154","-21","-21","-21","","","","","",""
"8757","","","","","","","","","","","","","","","","","","","","","","","","","156","156","156","-21","-21","-21"
"8776","100","100","100","-21","-21","-21","129","100","158","-21","-21","-21","127","100","154","-21","-21","-21","128","100","156","-21","-21","-21","","","","","",""
"8947","","","","","","","","","","","","","","","","","","","","","","","","","102","102","102","-21","-21","-21"
"8964","158","158","158","-21","-21","-21","130.5","101","160","-21","-21","-21","128.5","101","156","-21","-21","-21","129.5","101","158","-21","-21","-21","","","","","",""
"9152","131","102","160","-21","-21","-21","162","162","162","-21","-21","-21","130","102","158","-21","-21","-21","131","102","160","-21","-21","-21","","","","","",""
"9321","","","","","","","","","","","","","","","","","","","","","","","","","133","104","162","-21","-21","-21"
"9342","162","162","162","-21","-21","-21","133.5","103","164","-21","-21","-21","131.5","103","160","-21","-21","-21","132.5","103","162","-21","-21","-21","","","","","",""
"9526","134","104","164","-21","-21","-21","","","","","","","133","104","162","-21","-21","-21","134","104","164","-21","-21","-21","","","","","",""
"9691","","","","","","","","","","","","","","","","","","","","","","","","","136","106","166","-21","-21","-21"
"9709","","","","","","","136.5","105","168","-21","-21","-21","134.5","105","164","-21","-21","-21","135.5","105","166","-21","-21","-21","","","","","",""
"9879","","","","","","","","","","","","","","","","","","","","","","","","","168","168","168","-21","-21","-21"
"9895","137","106","168","-21","-21","-21","138","106","170","-21","-21","-21","136","106","166","-21","-21","-21","137","106","168","-21","-21","-21","","","","","",""
"10066","","","","","","","","","","","","","","","","","","","","","","","","","139","108","170","-21","-21","-21"
"10085","170","170","170","-21","-21","-21","107","107","107","-21","-21","-21","137.5","107","168","-21","-21","-21","138.5","107","170","-21","-21","-21","","","","","",""
"10275","108","108","108","-21","-21","-21","108","108","108","-21","-21","-21","139","108","170","-21","-21","-21","140","108","172","-21","-21","-21","","","","","",""
"10444","","","","","","","","","","","","","","","","","","","","","","","","","142","110","174","-21","-21","-21"
"10463","109","109","109","-21","-21","-21","142.5","109","176","-21","-21","-21","140.5","109","172","-21","-21","-21","141.5","109","174","-21","-21","-21","","","","","",""
"10630","","","","","","","","","","","","","","","","","","","","","","","","","143.5","111","176","-21","-21","-21"
"10649","176","176","176","-21","-21","-21","144","110","178","-21","-21","-21","142","110","174","-21","-21","-21","143","110","176","-21","-21","-21","","","","","",""
"10817","","","","","","","","","","","","","","","","","","","","","","","","","178","178","178","-21","-21","-21"
"10836","111","111","111","-21","-21","-21","111","111","111","-21","-21","-21","143.5","111","176","-21","-21","-21","144.5","111","178","-21","-21","-21","","","","","",""
"11000","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","-21","-21","-21"
"11026","112","112","112","-21","-21","-21","147","112","182","-21","-21","-21","145","112","178","-21","-21","-21","146","112","180","-21","-21","-21","","","","","",""
"11188","","","","","","","","","","","","","","","","","","","","","","","","","148","114","182","-21","-21","-21"
"11209","182","182","182","-21","-21","-21","148.5","113","184","-21","-21","-21","146.5","113","180","-21","-21","-21","147.5","113","182","-21","-21","-21","","","","","",""
"11395","","","","","","","186","186","186","-21","-21","-21","148","114","182","-21","-21","-21","149","114","184","-21","-21","-21","","","","","",""
"11560","","","","","","","","","","","","","","","","","","","","","","","","","116","116","116","-21","-21","-21"
"11582","115","115","115","-21","-21","-21","218","218","218","-21","-21","-21","169","115","223","-21","-21","-21","167","115","219","-21","-21","-21","","","","","",""
"11745","","","","","","","","","","","","","","","","","","","","","","","","","168.5","117","220","-21","-21","-21"
"11767","168","116","220","-21","-21","-21","168","116","220","-21","-21","-21","204","183","225","-21","-21","-21","168.5","116","221","-21","-21","-21","","","","","",""
"11931","","","","","","","","","","","","","","","","","","","","","","","","","118","118","118","-21","-21","-21"
"11956","169.5","117","222","-21","-21","-21","117","117","117","-21","-21","-21","205.5","184","227","-21","-21","-21","170","117","223","-21","-21","-21","","","","","",""
"12119","","","","","","","","","","","","","","","","","","","","","","","","","224","224","224","-21","-21","-21"
"12145","204.5","185","224","-21","-21","-21","171","118","224","-21","-21","-21","207","185","229","-21","-21","-21","205","185","225","-21","-21","-21","","","","","",""
"12306","","","","","","","","","","","","","","","","","","","","","","","","","187","187","187","-21","-21","-21"
"12329","206","186","226","-21","-21","-21","172.5","119","226","-21","-21","-21","208.5","186","231","-21","-21","-21","206.5","186","227","-21","-21","-21","","","","","",""
"12489","","","","","","","","","","","","","","","","","","","","","","","","","228","228","228","-21","-21","-21"
"12517","207.5","187","228","-21","-21","-21","187","187","187","-21","-21","-21","210","187","233","-21","-21","-21","208","187","229","-21","-21","-21","","","","","",""
"12679","","","","","","","","","","","","","","","","","","","","","","","","","189","189","189","-21","-21","-21"
"12701","","","","","","","188","188","188","-21","-21","-21","211.5","188","235","-21","-21","-21","209.5","188","231","-21","-21","-21","","","","","",""
"12866","","","","","","","","","","","","","","","","","","","","","","","","","190","190","190","-21","-21","-21"
"12886","232","232","232","-21","-21","-21","210.5","189","232","-21","-21","-21","213","189","237","-21","-21","-21","211","189","233","-21","-21","-21","","","","","",""
"13073","190","190","190","-21","-21","-21","212","190","234","-21","-21","-21","214.5","190","239","-21","-21","-21","212.5","190","235","-21","-21","-21","","","","","",""
"13235","","","","","","","","","","","","","","","","","","","","","","","","","192","192","192","-21","-21","-21"
"13256","213.5","191","236","-21","-21","-21","213.5","191","236","-21","-21","-21","216","191","241","-21","-21","-21","214","191","237","-21","-21","-21","","","","","",""
"13440","215","192","238","-21","-21","-21","238","238","238","-21","-21","-21","217.5","192","243","-21","-21","-21","215.5","192","239","-21","-21","-21","","","","","",""
"13627","216.5","193","240","-21","-21","-21","216.5","193","240","-21","-21","-21","219","193","245","-21","-21","-21","217","193","241","-21","-21","-21","","","","","",""
"13786","","","","","","","","","","","","","","","","","","","","","","","","","242","242","242","-21","-21","-21"
"13810","242","242","242","-21","-21","-21","218","194","242","-21","-21","-21","220.5","194","247","-21","-21","-21","218.5","194","243","-21","-21","-21","","","","","",""
"13976","","","","","","","","","","","","","","","","","","","","","","","","","244","244","244","-21","-21","-21"
"13994","195","195","195","-21","-21","-21","219.5","195","244","-21","-21","-21","222","195","249","-21","-21","-21","220","195","245","-21","-21","-21","","","","","",""
"14161","","","","","","","","","","","","","","","","","","","","","","","","","221.5","197","246","-21","-21","-21"
"14180","221","196","246","-21","-21","-21","196","196","196","-21","-21","-21","223.5","196","251","-21","-21","-21","221.5","196","247","-21","-21","-21","","","","","",""
"14347","","","","","","","","","","","","","","","","","","","","","","","","","198","198","198","-21","-21","-21"
