Episode,Reward,Loss,Steps
1,-21.0,0.011397519730962813,783
2,-19.0,0.011032482101158663,1026
3,-19.0,0.010887580406334665,977
4,-21.0,0.010600305472811064,840
5,-19.0,0.010448696176436815,1103
6,-21.0,0.010291677550412714,783
7,-21.0,0.010143501994510492,884
8,-19.0,0.009734166786074638,1133
9,-21.0,0.009577696832517782,903
10,-20.0,0.00967738177213404,976
11,-20.0,0.010712488037016656,903
12,-20.0,0.010956572834402323,965
13,-19.0,0.010812439676374196,938
14,-21.0,0.010594212729483844,1026
15,-21.0,0.010477672331035137,946
16,-21.0,0.010255431174300611,793
17,-21.0,0.010160563746467233,764
18,-21.0,0.01000762905459851,824
19,-21.0,0.009988787933252752,824
20,-21.0,0.009701565722934902,764
21,-20.0,0.009586871912082037,921
22,-19.0,0.010361735895276069,962
23,-21.0,0.010688017471693456,823
24,-21.0,0.010564684867858887,764
25,-21.0,0.010610586709596893,1120
26,-21.0,0.010222411093612513,885
27,-19.0,0.010075484402477741,1017
28,-18.0,0.010268266467998425,1167
29,-20.0,0.009956668648454878,983
30,-20.0,0.01007786663249135,986
31,-20.0,0.009788221213966608,931
32,-18.0,0.010282138870521025,1105
33,-19.0,0.010752724576741457,999
34,-19.0,0.010535281337797641,1013
35,-20.0,0.01039596889168024,1070
36,-20.0,0.010316253453493119,958
37,-21.0,0.010333652711576886,854
38,-19.0,0.01002474831925197,1175
39,-20.0,0.009986133221536875,1006
40,-17.0,0.009993246971414639,1306
41,-20.0,0.009817208629101515,939
42,-20.0,0.010587296655608548,965
43,-20.0,0.010366709488961432,906
44,-21.0,0.010345822293311357,931
45,-21.0,0.010253615560941398,852
46,-20.0,0.010000723724563917,902
47,-21.0,0.010125414383682337,1053
48,-19.0,0.009972844865511764,1071
49,-19.0,0.009950966201722622,999
50,-21.0,0.009484593058004975,843
51,-21.0,0.009674900418354405,892
52,-20.0,0.00936051013155116,898
53,-21.0,0.010527139296755195,764
54,-21.0,0.01018406492140558,972
55,-21.0,0.0100756561383605,972
56,-21.0,0.010031849425286055,976
57,-19.0,0.009811712522059679,1009
58,-20.0,0.009587476547393534,958
59,-21.0,0.009494777044488324,848
60,-20.0,0.009503379981550906,900
61,-20.0,0.009301026869151328,889
62,-21.0,0.009358134845064746,914
63,-21.0,0.00910079840105027,764
64,-21.0,0.010101116029545665,810
65,-20.0,0.009821522877448134,904
66,-21.0,0.009453141945414245,881
67,-21.0,0.00948525033891201,902
68,-21.0,0.009550464073462146,783
69,-21.0,0.009330337246259054,884
70,-21.0,0.008811247845490774,852
71,-21.0,0.009134207153692842,824
72,-19.0,0.008963467553257942,1038
73,-20.0,0.009003461338579655,958
74,-21.0,0.008900736924260855,764
75,-21.0,0.009222471362186803,903
76,-20.0,0.009469195165567927,945
77,-21.0,0.009079056675545871,764
78,-21.0,0.009114702542622885,958
79,-21.0,0.008912501949816942,950
80,-21.0,0.009002087430821525,880
81,-20.0,0.009082893737488322,980
82,-21.0,0.008923406596295536,792
83,-21.0,0.009023431378106276,914
84,-19.0,0.008704919445638856,1113
85,-19.0,0.0086061449514495,967
86,-20.0,0.009110388552976979,901
87,-21.0,0.009219682402908802,944
88,-21.0,0.009125481126829982,792
89,-20.0,0.008746765760911835,930
